post_id,user_id,text,dt,language,type,admin,platform,likeCount,likeCount,new_candidate,count
C-loNFkuYG1,jornaljangadeiro,"  “PROPAGANDA ELEITORAL ANTECIPADA”

A Justiça Eleitoral, na 115ª Zona Eleitoral de Fortaleza, determinou nesta segunda-feira (12) que os candidatos Evandro Leitão (PT) e Gabriella Aguiar (PSD), além do presidente Luiz Inácio Lula da Silva (PT), removam vídeos e fotos que registraram a convenção eleitoral que oficializou a candidatura do PT à Prefeitura de Fortaleza, realizada em 3 de agosto. 

No pedido, o PL de Fortaleza afirma que a convenção reuniu um público próximo a 20 mil pessoas, assemelhando-se a um comício. “Nos convites feitos pelo Sr. Evandro em suas redes sociais, este convoca os seus apoiadores, de forma absolutamente irrestrita, ignorando, assim, a natureza intrapartidária de uma convenção partidária”, diz a acusação. 

O PL disse ainda que o ato foi republicado em redes sociais como YouTube, Facebook e Instagram pela chapa formada por PT e PSD. Na decisão, o juiz orientou que os candidatos devem remover vídeos e fotos do evento, caracterizando “pedido explícito de votos”.

“(…) E vocês, e vocês que dizem que me amam, que dizem que gostam muito de mim, vocês têm uma obrigação, uma obrigação, a eleição, ela vai se dar no dia 6 de outubro, dia 6 de outubro, Evandro, é dia do meu aniversário”, diz Lula em um dos trechos destaques no documento. A remoção dos conteúdos envolve 43 links, entre fotos e vídeos publicados por Evandro Leitão e Gabriella Aguiar, candidatos a prefeito e vice-prefeita de Fortaleza, respectivamente.

De acordo com a liminar, a intimação foi expedida na última quinta-feira (8) com o prazo de um dia para a remoção dos conteúdos. O juiz determinou ainda que Evandro Leitão e Gabriella Aguiar têm dois dias para apresentarem defesa. 

TOMA LÁ DA CÁ

Em maio, a Justiça Eleitoral determinou que o deputado federal André Fernandes (PL) retirasse do ar, do YouTube e Instagram, as publicações que se referem ao lançamento da pré-candidatura do bolsonarista à Prefeitura de Fortaleza. A justiça acatou a um pedido de representação do Ministério Público Eleitoral e gerou uma multa de R$ 15 mil.

(Imagens: Divulgação)

#JornalJangadeiro #ChamaJangadeiro #EvandroLeitão #Lula #JJFeed #JJEleições2024.  ",2024-08-12 00:00:00,pt,photo,,Instagram,1459.0,1459.0,Evandro Leitão,1459.0
815181860735958,100067324538256,"“PROPAGANDA ELEITORAL ANTECIPADA” A Justiça Eleitoral, na 115ª Zona Eleitoral de Fortaleza, determinou nesta segunda-feira (12) que os candidatos Evandro Leitão (PT) e Gabriella Aguiar (PSD), além do presidente Luiz Inácio Lula da Silva (PT), removam vídeos e fotos que registraram a convenção eleitoral que oficializou a candidatura do PT à Prefeitura de Fortaleza, realizada em 3 de agosto. No pedido, o PL de Fortaleza afirma que a convenção reuniu um público próximo a 20 mil pessoas, assemelhando-se a um comício. “Nos convites feitos pelo Sr. Evandro em suas redes sociais, este convoca os seus apoiadores, de forma absolutamente irrestrita, ignorando, assim, a natureza intrapartidária de uma convenção partidária”, diz a acusação. O PL disse ainda que o ato foi republicado em redes sociais como YouTube, Facebook e Instagram pela chapa formada por PT e PSD. Na decisão, o juiz orientou que os candidatos devem remover vídeos e fotos do evento, caracterizando “pedido explícito de votos”. “(…) E vocês, e vocês que dizem que me amam, que dizem que gostam muito de mim, vocês têm uma obrigação, uma obrigação, a eleição, ela vai se dar no dia 6 de outubro, dia 6 de outubro, Evandro, é dia do meu aniversário”, diz Lula em um dos trechos destaques no documento. A remoção dos conteúdos envolve 43 links, entre fotos e vídeos publicados por Evandro Leitão e Gabriella Aguiar, candidatos a prefeito e vice-prefeita de Fortaleza, respectivamente. De acordo com a liminar, a intimação foi expedida na última quinta-feira (8) com o prazo de um dia para a remoção dos conteúdos. O juiz determinou ainda que Evandro Leitão e Gabriella Aguiar têm dois dias para apresentarem defesa. TOMA LÁ DA CÁ Em maio, a Justiça Eleitoral determinou que o deputado federal André Fernandes (PL) retirasse do ar, do YouTube e Instagram, as publicações que se referem ao lançamento da pré-candidatura do bolsonarista à Prefeitura de Fortaleza. A justiça acatou a um pedido de representação do Ministério Público Eleitoral e gerou uma multa de R$ 15 mil. (Imagens: Divulgação) #JornalJangadeiro #ChamaJangadeiro #EvandroLeitão #Lula #JJFeed #JJEleições2024.    ",2024-08-12 00:00:00,pt,photo,BR,Facebook,36.0,36.0,Evandro Leitão,37.0
C-lllw8RU1J,ttodeolho,"  Os partidos do presidente Luiz Inácio Lula da Silva (PT) e do ex-presidente Jair Bolsonaro (PL) se enfrentam de forma direta em, ao menos, 10 capitais brasileiras pelas prefeituras nas eleições municipais de outubro deste ano.

Nas outras 17 capitais, ambas as siglas estão endossando candidatos ou compondo coligações. Os confrontos serão nas seguintes cidades:

📍 Aracaju (SE)
📍 Belém (PA)
📍 Belo Horizonte (MG)
📍 Cuiabá (MT)
📍 Fortaleza (CE)
📍 Goiânia (GO)
📍 João Pessoa (PB)
📍 Manaus (AM)
📍 São Paulo (SP)
📍 Vitória (ES)

Em Goiânia, a candidata do PT, Adriana Accorsi, irá enfrentar Fred Rodrigues, do PL, pela prefeitura da cidade. Já em Belo Horizonte, os petistas serão representados por Rogério Correia na corrida contra Bruno Engler (PL) pelo comando da capital de Minas Gerais.

Em São Paulo, os dois partidos compõem chapas com vice-prefeitos. Os petistas têm Marta Suplicy, em parceria com Guilherme Boulos (Psol). O apoio à candidatura do psolista foi costurada pelo próprio chefe do Executivo. Neste ano, o PT abriu mão de lançar candidatos em grandes colégios eleitorais para apoiar nomes com maior chance de vitória.

Ainda em SP, o PL tem o coronel Ricardo Mello Araújo compondo a chapa para a reeleição do prefeito Ricardo Nunes (MDB). O nome do ex-comandante da Rota foi indicado pelo ex-presidente Bolsonaro, apesar da resistência de lideranças próximas a Nunes.

No último fim de semana, às vésperas do fim do prazo para a oficialização das candidaturas, Bolsonaro participou da convenção do atual prefeito de SP. Já Lula esteve em Fortaleza para endossar o nome de Evandro Leitão, que disputará a prefeitura contra André Fernandes (PL).

A exceção aos confrontos é São Luís (MA), onde PT e PL apoiam a mesma candidatura, a do deputado federal Duarte Júnior (PSB), a contragosto de Bolsonaro. A vice de Duarte é a petista Isabelle Passinho.

Fonte: Metrópoles.  ",2024-08-12 00:00:00,pt,photo,,Instagram,132.0,132.0,Evandro Leitão,132.0
1066781061681160,100050478280102,"Mais uma DERROTA de Evandro Leitão: Justiça atende PL e manda Evandro remover vídeos de ato com Lula das redes.  Decisão liminar aponta possível ""pedido explícito de voto"" durante participação do presidente na convenção do PT em Fortaleza. mais.opovo.com.br. Justiça atende PL e manda Evandro remover vídeos de ato com Lula das redes.",2024-08-12 00:00:00,pt,link,BR,Facebook,19.0,19.0,Evandro Leitão,19.0
916640557166047,100064603335771,"A Justiça Eleitoral deferiu pedido liminar do PL de Fortaleza que acusa Evandro Leitão (PT), Gabriella Aguiar (PSD) e Lula (PT) de propaganda eleitoral antecipada durante convenção em Fortaleza. Saiba mais na coluna do jornalista Carlos Mazza: https://bit.ly/3yNsBTw #eleições2024 #eleições2024opovo #PL #Lula. OPOVO ELEIÇÕES 2024 Justiça atende PL e manda Evandro remover vídeos de ato com Lula em Fortaleza das redes sociais.   ",2024-08-12 00:00:00,pt,photo,BR,Facebook,155.0,155.0,Evandro Leitão,158.0
C-lfrnpMgRP,opovoonline,"  O juízo da 115ª Zona Eleitoral de Fortaleza deferiu nesta segunda-feira, 12, pedido liminar do PL da Capital que acusa Evandro Leitão (PT), Gabriella Aguiar (PSD) e Lula (PT) de propaganda eleitoral antecipada durante convenção que confirmou, no último dia 3 de agosto, a candidatura de Evandro à Prefeitura de Fortaleza.⁠
⁠
Na decisão, o juiz determina que todos os três removam das redes sociais uma série de vídeos e fotos do evento, que contou com participação de Lula. Neste sentido, o magistrado destaca que imagens da convenção apontadas pelo PL sugerem “pedido explícito de votos” feito pelo presidente durante seu discurso no ato.⁠
⁠
🔗 Para saber mais sobre a decisão, acesse a coluna do jornalista Carlos Mazza acesse opovo.com.br.⁠
📷️ Foto: FÁBIO LIMA/ O POVO⁠
⁠
#opovo #pl #justiça #evandro #lula #propaganda.  ",2024-08-12 00:00:00,pt,album,,Instagram,1822.0,1822.0,Evandro Leitão,1822.0
925474409624886,100064870050781,"Decisão atende a uma representação do PL contra a chapa encabeçada por Evandro Leitão (PT). #politica #pt #pl #campanhaeleitoral #eleiçoes #DiáriodoNordeste.  A Justiça Eleitoral determinou, nesta segunda-feira (12), que os pré-candidatos a prefeito de Fortaleza, Evandro Leitão (PT), e a vice, Gabriella Aguiar (PSD), retirem d. diariodonordeste.verdesmares.com.br. Justiça ordena que Evandro retire do ar vídeos da convenção do PT e aponta 'propaganda antecipada'.",2024-08-12 00:00:00,pt,link,BR,Facebook,18.0,18.0,Evandro Leitão,18.0
C-lSlMCy5aw,baladain,"  A partir de 16 de agosto, os candidatos à Prefeitura de Fortaleza começarão a intensificar suas campanhas nas ruas, além de contar com a tradicional propaganda eleitoral gratuita em rádio e televisão. Entretanto, um meio de comunicação crucial para o sucesso das candidaturas é o uso das redes sociais, que tem se consolidado como uma ferramenta essencial nas campanhas eleitorais.

Nos últimos 12 anos, as redes sociais se tornaram uma plataforma fundamental para influenciar o eleitorado. O fenômeno foi notório em 2018, quando Jair Bolsonaro, então candidato à presidência, conquistou a vitória com uma presença significativa nas redes sociais, apesar do tempo limitado na televisão.

Para as eleições municipais deste ano em Fortaleza, o investimento nas redes sociais deverá ser substancial, como demonstrado nas campanhas de 2020 e 2022. Sem coligações na capital cearense, os principais candidatos — Capitão Wagner (União Brasil), André Fernandes (PL) e Eduardo Girão (Novo) — destacam-se por seu número expressivo de seguidores nas principais redes sociais do Brasil.

Fernandes lidera em termos de seguidores: 1,7 milhão no Instagram, 1,9 milhão no Facebook, 845 mil no TikTok, 525 mil no Twitter e 614 mil no YouTube. Antes de se eleger deputado, Fernandes era um influenciador digital de destaque.

Wagner possui 368 mil seguidores no Instagram, 375 mil no Facebook, 15 mil no TikTok, 50 mil no YouTube e 21 mil no Twitter. Por sua vez, o senador Girão conta com 435 mil seguidores no Instagram, 143 mil no Facebook, 3 mil no TikTok, 29 mil no YouTube e 485 mil no Twitter.

Por outro lado, candidatos que conseguiram formar coligações partidárias, como o petista Evandro Leitão (PT), apresentam números mais modestos nas redes sociais. Leitão possui 56 mil seguidores no Instagram, 38 mil no Facebook, 1,5 mil no TikTok, 71,9 mil no Twitter e 165 no YouTube.

O atual prefeito José Sarto (PDT), que busca a reeleição, tem utilizado suas redes sociais de forma eficaz, o que resultou em um crescimento no número de seguidores: 170 mil no Instagram, 51 mil no Facebook, 5,5 mil no TikTok, 20,1 mil no Twitter e 2,6 mil no YouTube.  ",2024-08-12 00:00:00,pt,photo,,Instagram,24.0,24.0,Evandro Leitão,24.0
C-lBZKvuweW,custoceara,"  O deputado estadual Evandro Leitão declarou R$1.662.352,84 de bens, segundo o site “divulgacand” do TSE.

Em 2022 quando disputou o cargo de deputado estadual, o Evandro declarou um patrimônio de R$ 1.107.058,65, ou seja em apenas 2 anos o patrimônio do deputado cresceu mais de meio milhão de reais.

Veja os bens declarados pelo candidato do PT a prefeitura de Fortaleza:

1.	Apartamento
APARTAMENTO EM FORTALEZA
R$ 941.214,60
2.	Sala ou conjunto
SALA COMERCIAL NO BAIRRO ALDEOTA
R$ 70.881,16
3.	Apartamento
APARTAMENTO NO BAIRRO COCÓ EM FORTALEZA
R$ 620.000,00
4.	VGBL - Vida Gerador de Benefício Livre
APLICAÇÃO VGBL
R$ 29.580,56
5.	Depósito bancário em conta corrente no País
CRÉDITO CONTA CORRENTE
R$ 676,52

Qual a sua opinião sobre a declaração de patrimônio do candidato do PT ?

#custoceara
#vocefiscalce.  ",2024-08-12 00:00:00,pt,album,,Instagram,123.0,123.0,Evandro Leitão,123.0
2349627008724340,288092618211133, ELEIÇÕES EM FORTALEZA Quem é Célio Studart que apoia O candidato da ELITE BRANCA? Célio Studart (PSD) o deputado federal que usava dinheiro público para turbinar seus posts nas redes sociais. Fonte: Revista Fórum. célio Studart Evandro Leitão A DIREITA FAZ A FESTA. Quem é Célio Studart que apoia o candidato da Elite Branca em Fortaleza? Célio Studart (PSD) o deputado federal que usava dinheiro público para turbinar seus posts nas redes sociais. Fonte: Revista Fórum. A Direita faz a festa.  ,2024-08-12 00:00:00,und,photo,,Facebook,13.0,13.0,Evandro Leitão,15.0
1066593685033231,100050478280102,Quem é Célio Studart que apoia o candidato da Elite Branca em Fortaleza? Célio Studart (PSD) o deputado federal que usava dinheiro público para turbinar seus posts nas redes sociais. Fonte: Revista Fórum. A Direita faz a festa. ELEIÇÕES EM FORTALEZA Quem é Célio Studart que apoia O candidato da ELITE BRANCA? Célio Studart (PSD) o deputado federal que usava dinheiro público para turbinar seus posts nas redes sociais. Fonte: Revista Fórum. célio Studart Evandro Leitão A DIREITA FAZ A FESTA.   ,2024-08-12 00:00:00,pt,photo,BR,Facebook,22.0,22.0,Evandro Leitão,35.0
C-hzk-SOAd3,metropolespolitica,"  Os partidos do presidente Luiz Inácio Lula da Silva (PT) e do ex-presidente Jair Bolsonaro (PL) se enfrentam de forma direta em, ao menos, 10 capitais brasileiras pelas prefeituras nas eleições municipais de outubro deste ano.

Nas outras 17 capitais, ambas as siglas estão endossando candidatos ou compondo coligações. Os confrontos serão nas seguintes cidades:

📍 Aracaju (SE)
📍 Belém (PA)
📍 Belo Horizonte (MG)
📍 Cuiabá (MT)
📍 Fortaleza (CE)
📍 Goiânia (GO)
📍 João Pessoa (PB)
📍 Manaus (AM)
📍 São Paulo (SP)
📍 Vitória (ES)

Em Goiânia, a candidata do PT, Adriana Accorsi, irá enfrentar Fred Rodrigues, do PL, pela prefeitura da cidade. Já em Belo Horizonte, os petistas serão representados por Rogério Correia na corrida contra Bruno Engler (PL) pelo comando da capital de Minas Gerais.

Em São Paulo, os dois partidos compõem chapas com vice-prefeitos. Os petistas têm Marta Suplicy, em parceria com Guilherme Boulos (Psol). O apoio à candidatura do psolista foi costurada pelo próprio chefe do Executivo. Neste ano, o PT abriu mão de lançar candidatos em grandes colégios eleitorais para apoiar nomes com maior chance de vitória.

Ainda em SP, o PL tem o coronel Ricardo Mello Araújo compondo a chapa para a reeleição do prefeito Ricardo Nunes (MDB). O nome do ex-comandante da Rota foi indicado pelo ex-presidente Bolsonaro, apesar da resistência de lideranças próximas a Nunes.

No último fim de semana, às vésperas do fim do prazo para a oficialização das candidaturas, Bolsonaro participou da convenção do atual prefeito de SP. Já Lula esteve em Fortaleza para endossar o nome de Evandro Leitão, que disputará a prefeitura contra André Fernandes (PL).

A exceção aos confrontos é São Luís (MA), onde PT e PL apoiam a mesma candidatura, a do deputado federal Duarte Júnior (PSB), a contragosto de Bolsonaro. A vice de Duarte é a petista Isabelle Passinho.

➡️ Leia mais no metropoles.com

📸 Arte/Metrópoles.  ",2024-08-11 00:00:00,pt,photo,,Instagram,1807.0,1807.0,Evandro Leitão,1807.0
C-hzk-SOAd3,metropoles,"  Os partidos do presidente Luiz Inácio Lula da Silva (PT) e do ex-presidente Jair Bolsonaro (PL) se enfrentam de forma direta em, ao menos, 10 capitais brasileiras pelas prefeituras nas eleições municipais de outubro deste ano.

Nas outras 17 capitais, ambas as siglas estão endossando candidatos ou compondo coligações. Os confrontos serão nas seguintes cidades:

📍 Aracaju (SE)
📍 Belém (PA)
📍 Belo Horizonte (MG)
📍 Cuiabá (MT)
📍 Fortaleza (CE)
📍 Goiânia (GO)
📍 João Pessoa (PB)
📍 Manaus (AM)
📍 São Paulo (SP)
📍 Vitória (ES)

Em Goiânia, a candidata do PT, Adriana Accorsi, irá enfrentar Fred Rodrigues, do PL, pela prefeitura da cidade. Já em Belo Horizonte, os petistas serão representados por Rogério Correia na corrida contra Bruno Engler (PL) pelo comando da capital de Minas Gerais.

Em São Paulo, os dois partidos compõem chapas com vice-prefeitos. Os petistas têm Marta Suplicy, em parceria com Guilherme Boulos (Psol). O apoio à candidatura do psolista foi costurada pelo próprio chefe do Executivo. Neste ano, o PT abriu mão de lançar candidatos em grandes colégios eleitorais para apoiar nomes com maior chance de vitória.

Ainda em SP, o PL tem o coronel Ricardo Mello Araújo compondo a chapa para a reeleição do prefeito Ricardo Nunes (MDB). O nome do ex-comandante da Rota foi indicado pelo ex-presidente Bolsonaro, apesar da resistência de lideranças próximas a Nunes.

No último fim de semana, às vésperas do fim do prazo para a oficialização das candidaturas, Bolsonaro participou da convenção do atual prefeito de SP. Já Lula esteve em Fortaleza para endossar o nome de Evandro Leitão, que disputará a prefeitura contra André Fernandes (PL).

A exceção aos confrontos é São Luís (MA), onde PT e PL apoiam a mesma candidatura, a do deputado federal Duarte Júnior (PSB), a contragosto de Bolsonaro. A vice de Duarte é a petista Isabelle Passinho.

➡️ Leia mais no metropoles.com

📸 Arte/Metrópoles.  ",2024-08-11 00:00:00,pt,photo,,Instagram,1810.0,1810.0,Evandro Leitão,1810.0
C-hzk-SOAd3,metropoles.df,"  Os partidos do presidente Luiz Inácio Lula da Silva (PT) e do ex-presidente Jair Bolsonaro (PL) se enfrentam de forma direta em, ao menos, 10 capitais brasileiras pelas prefeituras nas eleições municipais de outubro deste ano.

Nas outras 17 capitais, ambas as siglas estão endossando candidatos ou compondo coligações. Os confrontos serão nas seguintes cidades:

📍 Aracaju (SE)
📍 Belém (PA)
📍 Belo Horizonte (MG)
📍 Cuiabá (MT)
📍 Fortaleza (CE)
📍 Goiânia (GO)
📍 João Pessoa (PB)
📍 Manaus (AM)
📍 São Paulo (SP)
📍 Vitória (ES)

Em Goiânia, a candidata do PT, Adriana Accorsi, irá enfrentar Fred Rodrigues, do PL, pela prefeitura da cidade. Já em Belo Horizonte, os petistas serão representados por Rogério Correia na corrida contra Bruno Engler (PL) pelo comando da capital de Minas Gerais.

Em São Paulo, os dois partidos compõem chapas com vice-prefeitos. Os petistas têm Marta Suplicy, em parceria com Guilherme Boulos (Psol). O apoio à candidatura do psolista foi costurada pelo próprio chefe do Executivo. Neste ano, o PT abriu mão de lançar candidatos em grandes colégios eleitorais para apoiar nomes com maior chance de vitória.

Ainda em SP, o PL tem o coronel Ricardo Mello Araújo compondo a chapa para a reeleição do prefeito Ricardo Nunes (MDB). O nome do ex-comandante da Rota foi indicado pelo ex-presidente Bolsonaro, apesar da resistência de lideranças próximas a Nunes.

No último fim de semana, às vésperas do fim do prazo para a oficialização das candidaturas, Bolsonaro participou da convenção do atual prefeito de SP. Já Lula esteve em Fortaleza para endossar o nome de Evandro Leitão, que disputará a prefeitura contra André Fernandes (PL).

A exceção aos confrontos é São Luís (MA), onde PT e PL apoiam a mesma candidatura, a do deputado federal Duarte Júnior (PSB), a contragosto de Bolsonaro. A vice de Duarte é a petista Isabelle Passinho.

➡️ Leia mais no metropoles.com

📸 Arte/Metrópoles.  ",2024-08-11 00:00:00,pt,photo,,Instagram,1807.0,1807.0,Evandro Leitão,1807.0
8159945510738057,1596869347045739,"CIRÃO, GUERREIRO DO POVO BRASILEIRO! PRA CIMA DESSE RATOS PETISTAS, CIRO! ***“Eu e Ciro temos as nossas divergências, isso é muito claro, mas circunstancialmente contra um adversário comum, o PT. Nada nos impede de dialogar para enfraquecer e derrotar a sigla no estado do Ceará e no Brasil”*, disparou Carmelo Neto.** **Em 2022, o PT e o PDT tiveram graves conflitos. A sigla de Lula decidiu apoiar o governador petista Elmano de Freitas para o comando do Estado, enquanto Ciro Gomes, principal nome do PDT, defendeu a candidatura do ex-prefeito pedetista de Fortaleza Roberto Cláudio.** **Porém na disputa atual, o pedetista Ciro apoia a reeleição do atual prefeito de Fortaleza, José Sarto. O cacique esteve presente na convenção do PDT que oficializou a candidatura, em 28 de julho. Na ocasião, Ciro criticou enfaticamente o governo Lula, reiterou denúncias contra a administração do governador petista do Ceará, Elmano de Freitas, e alfinetou seu atual desafeto, o também petista Camilo Santana, ministro da Educação de Lula.** ***“A quadrilha em que se transformou o PT: roubam em todas as oportunidades que têm pra roubar, mentem explorando a boa vontade do povo”*, disse Ciro na convenção pedetista. *“Hoje, por obra do senhor Camilo Santana, todos os presídios do Ceará foram divididos para as facções criminosas”*. Ele também chamou o petista Evandro Leitão, o nome do PT na disputa, de *“candidato da organização criminosa petista”*.** **O candidato de Ciro, José Sarto, seguiu na mesma toada do seu guru, disparando contra todos os seus adversários. Sarto chamou o petista Evandro Leitão de *“candidato da covardia”*, por ele não ter assinado a CPI do narcotráfico em 2018, alegando temor.**.    ",2024-08-10 00:00:00,pt,photo,,Facebook,10.0,10.0,José Sarto,10.0
1097779771709152,100044314185336,"☕ O Café PT desta sexta-feira (09) conversou com Evandro Leitão, pré-candidato do PT à prefeitura de Fortaleza (CE), sobre a campanha e ações do Governo Lula na capital cearense. 🔴 Assista a entrevista na íntegra: https://youtube.com/live/xoob0hu2TQw 🔔 Acompanhe o programa de segunda a sexta, a partir das 9h, na #TvPT.    ",2024-08-10 00:00:00,pt,native_video,BR,Facebook,103.0,103.0,Evandro Leitão,125.0
813762324211245,100067324538256,"""CHEIRINHO DE DESESPERO"" Após a Justiça Eleitoral do Ceará atender ao pedido do União Brasil, partido de Capitão Wagner, e suspender a divulgação da pesquisa de intenção de voto da AtlasIntel para as eleições municipais de Fortaleza, o deputado André Fernandes (PL), que liderava o levantamento, reagiu chamando a ação de “desespero”. Em um vídeo publicado nas redes sociais na noite de sexta-feira (9), André Fernandes comentou de forma irônica a suspensão da pesquisa: “olha que interessante! A Justiça proibiu a divulgação de uma pesquisa em que eu estava na frente. Tá sentindo o cheirinho de desespero?”, disse o deputado, rindo. No processo, o UB argumenta que a pesquisa apresenta falhas como erro no cálculo da amostra, divergências com o público-alvo, ausência de um questionário completo e falta de um sistema de conferência da coleta de dados, apontando para ""deficiência técnica e indícios de manipulação."" A Justiça concordou com os argumentos e suspendeu a divulgação até que uma análise técnica mais detalhada seja realizada. Segundo o juiz Victor Nunes, o levantamento poderia, ""ao menos em tese, induzir a erro a opinião do eleitorado"". A multa por descumprimento da decisão liminar é de R$5.000 por dia. Após a decisão, o CEO do AtlasIntel, Andrei Roman, se manifestou nas redes sociais, criticando a ação do UB e destacando o desempenho do instituto em eleições anteriores. Roman afirmou que, em 2020 e 2022, as pesquisas da AtlasIntel foram as que melhor capturaram o desempenho de Capitão Wagner. ""Como agora a pesquisa é desfavorável, ele tenta impugnar"", disse. Roman também respondeu às alegações do partido, classificando-as como ""fraquíssimas"" e reafirmou a confiança na precisão da pesquisa. A AtlasIntel retirou temporariamente a divulgação do levantamento, “mas iremos apresentar defesa e iremos vencer essa ação no mérito”, disse. A pesquisa, encomendada pela Focus Poder, indicava um empate técnico entre quatro candidatos à Prefeitura de Fortaleza, com André Fernandes liderando as intenções de voto, seguido por Evandro Leitão (PT), José Sarto (PDT) e Capitão Wagner. #JornalJangadeiro #ChamaJangadeiro #AndréFernandes #CapitãoWagner #JJReels #JJEleições2024.    ",2024-08-10 00:00:00,pt,native_video,BR,Facebook,126.0,126.0,André Fernandes,141.0
