post_id,user_id,text,dt,platform,likeCount,new_candidate,new_classification,count
762982015955943,100067324538256,"PRIORIDADE DO PARTIDO O deputado estadual André Fernandes (PL) reafirmou que mantém a pré-candidatura à Prefeitura de Fortaleza e criticou o potencial aliado, pré-candidato Capitão Wagner (União Brasil), alegando que Wagner não se alinha às ideologias de direita. André Fernandes disse ainda que não pretende formar aliança com o União Brasil no primeiro turno das eleições municipais. Capitão Wagner não se caracteriza como de direita. A direção nacional do partido já disse que Fortaleza é uma prioridade e que vai investir na minha pré-candidatura, afirma André, conforme publicado pelo Jornal O Globo. André Fernandes já havia assegurado que sua candidatura era inegociável, apoiada tanto pelo Partido Liberal nacional quanto pelo ex-presidente Jair Bolsonaro (PL). Em entrevista à rádio Jangadeiro BandNews FM 101.7, neste mês, Capitão Wagner afirmou que manterá a candidatura. Vamos torcer que a melhor candidatura vá até o final. Se lá na frente a gente perceber alguma coisa, a gente pode sentar novamente e dialogar. Na reportagem do O Globo, o material contextualiza a cidade de Fortaleza como uma das sete capitais brasileiras que apresentam divergências internas sobre os rumos do PL na disputa pelas prefeituras. Em 2024, será a primeira vez que André Fernandes entra na disputa pelo Paço Municipal, enquanto Wagner deve concorrer à eleição municipal pela 3ª vez. (Foto: Zeca Ribeiro / Câmara dos Deputados) #JornalJangadeiro #ChamaJangadeiro #AndréFernandes #CapitãoWagner #JJFeed #JJPolítica. J André Fernandes descarta aliança com União Brasil e diz que Capitão Wagner não é de direita direita.   ",2024-05-16,Facebook,187,André Fernandes,Pro-André Fernandes,199
909092294561158,100063811860148,"O deputado federal André Fernandes (PL) voltou a reafirmar a pré-candidatura à Prefeitura de Fortaleza, descartou uma aliança com o União Brasil e disse que o Capitão Wagner não é direita, daí a incompatibilidade para um acordo no primeiro turno. ‘’Capitão Wagner não se caracteriza como de direita. A direção nacional do partido já disse que Fortaleza é uma prioridade e que vai investir na minha pré-candidatura’’, disse André, em declarações publicadas pelo Jornal O Globo. A reportagem contextualiza Fortaleza como uma das 7 capitais brasileiras que apresentam divergências internas sobre os rumos do PL na disputa pelas prefeituras. O deputado federal André Fernandes teve a pré-candidatura à Prefeitura lançada pelo ex-presidente Jair Bolsonaro. As informações que circulam nos bastidores políticos apontam que o nome de Fernandes não é consenso dentro do PL, mas ele, André Fernandes, aposta que, como estratégia para manter o legado bolsonarista, o partido não abrirá mão de candidatura própria no primeiro turno em Fortaleza. Ceará Agora NADAFICA PELAMETADE André Fernandes reafirma pré-candidatura, descarta aliança com União Brasil e diz que Capitão Wagner não não é de direita VEJA MATERIA COMPLETA NO SITE CEARAAGORA.COM.BR.   ",2024-05-16,Facebook,12,André Fernandes,Pro-André Fernandes,12
762891425965002,100067324538256,"SOBRE TELEMEDICINA EM FORTALEZA O prefeito de Fortaleza, José Sarto (PDT), afirmou que o ex-deputado federal Capitão Wagner (União Brasil) mente ou está desinformado ao declarar que a Prefeitura teria se recusado a implementar a telemedicina na capital. O Capitão Wagner mente ou está desinformado. Ele disse que a Prefeitura de Fortaleza recusou a telemedicina. É mentira! A verdade é que o projeto está em implantação e já atende a milhares de pacientes em diversas especialidades, reagiu Sarto nesta quarta-feira (15) nas redes sociais. A resposta do prefeito veio após entrevista de Wagner à Rádio Jovem Pan News Fortaleza, na qual o ex-deputado afirmou que a Prefeitura havia recusado um convênio para implementar o serviço, na época em que ele atuava na Secretaria de Saúde de Maracanaú. Em Maracanaú, implementamos a telemedicina em parceria com o Ministério da Saúde e o Hospital Sírio-Libanês. Esse convênio foi oferecido a todos os municípios do Nordeste, e Fortaleza não aceitou esse convênio, cujo município não gasta nada. O município recebe os equipamentos, o Ministério da Saúde é quem paga pela consulta ao médico. A prefeitura de Fortaleza resolveu não aderir a esse convênio, afirmou Wagner também na quarta-feira. Wagner declarou ainda que irá implementar o serviço de telemedicina caso seja eleito prefeito de Fortaleza. Ele é pré-candidato ao Paço Municipal, enquanto Sarto deve concorrer à reeleição. (Foto: Aline Neri / Jornal Jangadeiro) #JornalJangadeiro #ChamaJangadeiro #Sarto #CapitãoWagner #JJFeed #JJPolítica. oiab 0 gndeino jangal J Sarto rebate rebate crítica de Capitão Wagner: OU está desinformado mente.   ",2024-05-16,Facebook,28,Capitão Wagner,Against-Capitão Wagner,28
1038810774634203,100055158704186,"O pré-candidato à prefeitura de São José do Egito, voltou a dizer em entrevista ao programa Manhã Total, da Rádio Pajeú, que mantém diálogo com Ana Maria e outros nomes para construir a unidade em torno de sua pré-candidatura. Perguntado sobre o alinhamento com nomes como o dela e do ex-prefeito Augusto Valadares, diz estar conversando de forma incansável com Augusto. Não temos arestas. A gente sabe que existiram problemas familiares que não nos competem resolvê-los, disse, confiando em um alinhamento. Destacou a conversa com Júnior de Gilvaney. Da mesma forma, diz estar dialogando com Ana Maria. Perguntado sobre a gestão Evandro, disse reconhecer problemas e lacunas. Os probleams existem. Mas ninguem passa 16 anos no poder sem que tenha algum tipo de desgaste. Existem lacunas e me proponho a resolvê-las. Evandro tem trabalhado diuturnamente, sem esconder os problemas. Mas você não pode tirar o mérito de um cara eleito quatro vezes. Respondendo Júnior Finfa sobre a escolha do candidato a vice, disse que está conversando com todos os setores. Citou João de Maria, o diálogo com o União Brasil. a Federação PT/PV e PCdoB, citando Rona Leite e a própria Ana Maria. No PSB teremos que ter apenas um pré-candidato. Estamos resolvendo para resolver no diálogo, sem danos nem perdas. Disse que São José do Egito não pode voltar ao retrocesso. Respondendo uma pergunta de Pedro Araújo, do PE Notícias, sobre amo partiocipação de paulo Jucá bno se governo, voltou a dizxer que nãoserá comandado. Um dos pr-e-requisitos para eu aceitar essa candidatura será autponomia e independência. ouvirei todos, não apenas Paulo, mas a decidão será de George Borja. ‎'‎PORTAL PORTALDENOTICIAS DE NOTICIAS خک_لساب شیدن Marell Patriota iota atriota George Borja volta a falar em autonomia se eleito. Ouvirei todos, mas a decisão será minha Kloa do larcello Patriota‎'‎.   ",2024-05-16,Facebook,12,Evandro Leitão,Against-Evandro Leitão,12
25414148491566568,958244307583658,"Em ano eleitoral o despero começa!.  🚌 COMO TEM SIDO SUA EXPERIÊNCIA COM O TRANSPORTE PÚBLICO?  Fortaleza tem ampliação na frota de transporte público a partir desta quinta-feira (16), com a adição de 52 novos ônibus para reforçar o tráfego em 40 linhas. O anúncio foi feito pelo prefeito José Sarto (PDT) na quarta-feira (15), durante evento no bairro São Gerardo, e reforçado em suas redes sociais.  Sarto também revelou que está sendo realizado um estudo em conjunto com a Empresa de Transporte Urbano de Fortaleza (Etufor) e o Sindicato das Empresas de Transporte de Passageiros do Estado do Ceará (Sindiônibus) para a criação gradual de 10 novas linhas de ônibus.  Segundo o anúncio, as novas linhas devem ter trajeto, por exemplo, da Barra do Ceará à Aldeota e do Meireles à Praia do Futuro. Nossa decisão é tecnicamente respaldada pela demanda popular, justificou o prefeito.  O prefeito destacou que os novos veículos serão de última geração, com ar-condicionado, com internet para celular e não poluentes.  Essa medida surge dois dias após o Ministério Público do Ceará (MPCE) cobrar da Etufor e do Sindiônibus informações sobre uma possível redução na frota de ônibus em circulação na capital.  No ofício enviado, foi estabelecido um prazo até o dia 27 de maio para que as duas instituições forneçam informações sobre as rotas em operação nos bairros das regionais 6, 9 e 10, além de detalhar o número de veículos disponíveis para a população dessas localidades em 2023 e 2024.  (Foto: Prefeitura de Fortaleza)  #JornalJangadeiro #ChamaJangadeiro #ÔnibusFortaleza #Etufor #JJFeed #JJCidade.  ",2024-05-16,Facebook,29,José Sarto,Pro-José Sarto,30
762842405969904,100067324538256,"🚌 COMO TEM SIDO SUA EXPERIÊNCIA COM O TRANSPORTE PÚBLICO? Fortaleza tem ampliação na frota de transporte público a partir desta quinta-feira (16), com a adição de 52 novos ônibus para reforçar o tráfego em 40 linhas. O anúncio foi feito pelo prefeito José Sarto (PDT) na quarta-feira (15), durante evento no bairro São Gerardo, e reforçado em suas redes sociais. Sarto também revelou que está sendo realizado um estudo em conjunto com a Empresa de Transporte Urbano de Fortaleza (Etufor) e o Sindicato das Empresas de Transporte de Passageiros do Estado do Ceará (Sindiônibus) para a criação gradual de 10 novas linhas de ônibus. Segundo o anúncio, as novas linhas devem ter trajeto, por exemplo, da Barra do Ceará à Aldeota e do Meireles à Praia do Futuro. Nossa decisão é tecnicamente respaldada pela demanda popular, justificou o prefeito. O prefeito destacou que os novos veículos serão de última geração, com ar-condicionado, com internet para celular e não poluentes. Essa medida surge dois dias após o Ministério Público do Ceará (MPCE) cobrar da Etufor e do Sindiônibus informações sobre uma possível redução na frota de ônibus em circulação na capital. No ofício enviado, foi estabelecido um prazo até o dia 27 de maio para que as duas instituições forneçam informações sobre as rotas em operação nos bairros das regionais 6, 9 e 10, além de detalhar o número de veículos disponíveis para a população dessas localidades em 2023 e 2024. (Foto: Prefeitura de Fortaleza) #JornalJangadeiro #ChamaJangadeiro #ÔnibusFortaleza #Etufor #JJFeed #JJCidade.    ",2024-05-16,Facebook,50,José Sarto,Pro-José Sarto,56
937054211764311,100063792230102,"Veja linhas que terão aumento na frota de ônibus em Fortaleza Os 52 novos ônibus em circulação na cidade de Fortaleza irão fazer parte de 40 linhas urbanas da Capital. O incremento na frota foi anunciado pelo prefeito de Fortaleza, José Sarto (PDT), nessa quarta-feira, 15, e deve beneficiar 27 mil usuários.⁠ ⁠ Conforme informações repassadas pela Empresa de Transporte Urbano de Fortaleza (Etufor), os novos veículos já começaram a rodar nesta quinta-feira, 16, e seguem o modelo Euro 6, um sistema de normas para veículos de grande porte que busca reduzir os índices de poluição.⁠ ⁠ De acordo com a Etufor, os novos transportes ainda têm suspensão pneumática, ar-condicionado e porta USB para carregar telefones celulares.⁠ A ampliação da frota, no entanto, ocorre após quase metade das linhas de ônibus de Fortaleza terem sofrido algum tipo de redução no número de viagens entre dezembro de 2023 e abril deste ano. ⁠ No material em questão, o Sindicato dos Trabalhadores em Transportes Rodoviários no Ceará (Sintro-Ce) denunciou que 153 motoristas foram demitidos desde o início do ano diante da diminuição de viagens. Com isso o Ministério Público do Estado do Ceará a questionar a Etufor e Sindiônibus sobre a redução. Confira as linhas que terão acréscimo de ônibus em Fortaleza: 633-Passaré/Centro 635-Cj Tamandaré/Messejana 636-Cj Palmeiras/Parque Santa Maria 639-Planalto Coaçu/Messejana 641-Guajerú I/Messejana 642-Guajerú II/Messejana 646-Cj São Cristóvão/Messejana Prefeitura de Fortaleza 648-Cidade Nobre/Messejana 825-Cidade Func/Jardim das Oliveiras/Papicu 340-Cj Itaperi/Parangaba 356-Genibaú/Lagoa 394-Parque Universitários/Lagoa 395-Sítio Córrego/Parangaba 403-Parangaba/Expedicionários/Centro 513-Parangaba/UECE/Luciano Carneiro 601-Aerolândia/Centro 602-Parque Pio XII/Ana Gonçalves/Centro oba 626-Lagoa Redonda II/Messejana 628-Sítio São João/Parque Santa Maria/Messejana 630-Itamaraty/Elizabeth II/Messejana 631-Carlos Albuquerque/Messejana. 025 Opaia/Lagoa 081-Cj Ceará/Antônio Bezerra II 110-Vila do Mar/Centro 205-Dom Lustosa/Antônio Bezerra 206-Padre Andrade/Antônio Bezerra 214-Estação/Pio Saraiva I/Antônio Bezerra 215-Autran Nunes/Antônio Bezerra 303-Igreja São Raimundo/Centro 304-Bela Vista/Lagoa Prefeitura de 308-Lagoa/Demócrito Rocha/Centro 316-Genibaú/Centro 322-Cj Ceará/Granja Portugal/Lagoa 323-João XXIII/Lagoa 331-Cj Esperança/Centro 332-Siqueira/Lagoa 334-Monte Rey/Siqueira. 📷 Foto: Reprodução Rede Vizinha. RVO News.    ",2024-05-17,Facebook,7,José Sarto,Pro-José Sarto,15
76371847921563,100067324538256,"OBRAS INICIAM SEGUNDA-FEIRA (20) O prefeito José Sarto assinou, nesta sexta-feira (17), a reforma do Mercado Central, em Fortaleza. A obra pretende revitalizar o espaço para beneficiar os comerciantes, além de garantir uma melhor segurança do local. O investimento total é de quase R$ 5 milhões. A Secretaria Municipal da Gestão Regional (Seger) será a responsável pela reforma. As obras terão início na próxima segunda-feira (20) e terão prazo de execução de 12 meses. As intervenções incluem a troca completa das telhas, a manutenção da drenagem pluvial com reforma das calhas, a recuperação do sistema de proteção contra incêndios e a instalação de um Sistema de Proteção contra Descargas Atmosféricas (SPDA) para prevenir danos causados por descargas elétricas. Também serão realizadas a reforma dos pisos metálicos das passarelas e rampas internas, a revisão elétrica total da estrutura, a manutenção das subestações, a pintura geral interna e externa, e a recuperação da cerâmica da fachada. Nós vamos entregar um equipamento moderno, tranquilo e seguro. O ponto fundamental é dar um bom mercado para os fortalezenses e, consequentemente, atrair ainda mais turistas e gerar mais renda, afirma o prefeito de Fortaleza, José Sarto. Localizado na Avenida Alberto Nepomuceno, no Centro de Fortaleza, o Mercado Central é referência como o maior mercado de artesanato do Brasil. O espaço possui uma variedade de produtos regionais e gastronomia típica, distribuídos em 550 boxes e 70 quiosques. (Foto: Reprodução) #JornalJangadeiro #ChamaJangadeiro #MercadoCentralDeFortaleza #ArtesanatoCeará #JJFeed #JJCidade.    ",2024-05-17,Facebook,8,José Sarto,Pro-José Sarto,9
868283035344024,100064870050781,"Obras iniciam a partir de próxima segunda-feira (20) #prefeituradefortaleza #mercadocentral #mercadocentraldefortaleza #DiáriodoNordeste.  O prefeito José Sarto assinou, nesta sexta-feira (17), a ordem de serviço para a reforma do Mercado Central de Fortaleza. A obra conta com orçamento de R$ 4,5 milhões e está prevista par. diariodonordeste.verdesmares.com.br. Sarto anuncia reforma do Mercado Central de Fortaleza no valor de R$ 4,5 milhões - Ceará - Diário do Nordeste.",2024-05-17,Facebook,18,José Sarto,Pro-José Sarto,19
8566146998353,100064603335771,Via colunista Érico Firmo | Sarto tolerância zero e sem levar desaforo pra casa Prefeito assume a iniciativa e adota atitude agressiva sobre as críticas de adversários ➡Leia mais na coluna de Érico Firmo: https://bit.ly/4bj3xCb #opovo #politica #Fortaleza.    ,2024-05-17,Facebook,24,José Sarto,Against-José Sarto,24
