Candidate,dt,vote_intention
André Fernandes,2024-07-05,0.32537777186126715
Capitão Wagner,2024-07-05,0.22335349270820828
Evandro Leitão,2024-07-05,0.2139548687052381
José Sarto,2024-07-05,0.23731386672528648
André Fernandes,2024-07-06,0.39344041617065856
Capitão Wagner,2024-07-06,0.2547656027419315
Evandro Leitão,2024-07-06,0.17484282056299433
José Sarto,2024-07-06,0.17695116052441556
André Fernandes,2024-07-07,0.36121886181593943
Capitão Wagner,2024-07-07,0.2422496697043431
Evandro Leitão,2024-07-07,0.14325578082512927
José Sarto,2024-07-07,0.25327568765458813
André Fernandes,2024-07-08,0.38301619009060967
Capitão Wagner,2024-07-08,0.2713124842145927
Evandro Leitão,2024-07-08,0.1259875011579248
José Sarto,2024-07-08,0.21968382453687285
André Fernandes,2024-07-09,0.39348934574892025
Capitão Wagner,2024-07-09,0.26239844230503645
Evandro Leitão,2024-07-09,0.16902037556411567
José Sarto,2024-07-09,0.17509183638192766
André Fernandes,2024-07-10,0.35551008888949626
Capitão Wagner,2024-07-10,0.23349297408262273
Evandro Leitão,2024-07-10,0.19392877408136938
José Sarto,2024-07-10,0.2170681629465116
André Fernandes,2024-07-11,0.3342887502427184
Capitão Wagner,2024-07-11,0.24362692777980102
Evandro Leitão,2024-07-11,0.19699383659560915
José Sarto,2024-07-11,0.22509048538187143
André Fernandes,2024-07-12,0.3425290644250766
Capitão Wagner,2024-07-12,0.25039919235158326
Evandro Leitão,2024-07-12,0.21588969555410328
José Sarto,2024-07-12,0.19118204766923694
André Fernandes,2024-07-13,0.4066705748640166
Capitão Wagner,2024-07-13,0.2262672319959745
Evandro Leitão,2024-07-13,0.1824173278137334
José Sarto,2024-07-13,0.1846448653262755
André Fernandes,2024-07-14,0.33831726098184556
Capitão Wagner,2024-07-14,0.21380102544674462
Evandro Leitão,2024-07-14,0.2599248741442153
José Sarto,2024-07-14,0.1879568394271945
André Fernandes,2024-07-15,0.3015174585003314
Capitão Wagner,2024-07-15,0.24855606695107055
Evandro Leitão,2024-07-15,0.2722019058838273
José Sarto,2024-07-15,0.1777245686647707
André Fernandes,2024-07-16,0.39103282250818516
Capitão Wagner,2024-07-16,0.26550009364210797
Evandro Leitão,2024-07-16,0.2153067732341678
José Sarto,2024-07-16,0.12816031061553906
André Fernandes,2024-07-17,0.306284126006702
Capitão Wagner,2024-07-17,0.1946278194839137
Evandro Leitão,2024-07-17,0.266071274965141
José Sarto,2024-07-17,0.23301677954424332
André Fernandes,2024-07-18,0.2906054958178314
Capitão Wagner,2024-07-18,0.24461694391121508
Evandro Leitão,2024-07-18,0.3193493573638343
José Sarto,2024-07-18,0.14542820290711916
André Fernandes,2024-07-19,0.3518705051424627
Capitão Wagner,2024-07-19,0.23366038249568405
Evandro Leitão,2024-07-19,0.28389135441550595
José Sarto,2024-07-19,0.1305777579463473
André Fernandes,2024-07-20,0.2922729157661289
Capitão Wagner,2024-07-20,0.23719190940249554
Evandro Leitão,2024-07-20,0.3027060878065226
José Sarto,2024-07-20,0.1678290870248529
André Fernandes,2024-07-21,0.3726369239034445
Capitão Wagner,2024-07-21,0.25814281406065953
Evandro Leitão,2024-07-21,0.211415972033871
José Sarto,2024-07-21,0.15780429000202495
André Fernandes,2024-07-22,0.36045046651188767
Capitão Wagner,2024-07-22,0.26378880520567927
Evandro Leitão,2024-07-22,0.21781121681752422
José Sarto,2024-07-22,0.15794951146490885
André Fernandes,2024-07-23,0.3707221470545496
Capitão Wagner,2024-07-23,0.2641260138669972
Evandro Leitão,2024-07-23,0.25853593575308426
José Sarto,2024-07-23,0.10661590332536897
André Fernandes,2024-07-24,0.2998135608030841
Capitão Wagner,2024-07-24,0.2898357940638063
Evandro Leitão,2024-07-24,0.30573983623766793
José Sarto,2024-07-24,0.10461080889544172
André Fernandes,2024-07-25,0.34667349247342194
Capitão Wagner,2024-07-25,0.2552735970942226
Evandro Leitão,2024-07-25,0.3236334613398707
José Sarto,2024-07-25,0.07441944909248473
André Fernandes,2024-07-26,0.3587033215416974
Capitão Wagner,2024-07-26,0.3026012163619579
Evandro Leitão,2024-07-26,0.2679861018439183
José Sarto,2024-07-26,0.07070936025242636
André Fernandes,2024-07-27,0.40589127063668917
Capitão Wagner,2024-07-27,0.1921793331045046
Evandro Leitão,2024-07-27,0.3309987208693462
José Sarto,2024-07-27,0.07093067538946009
André Fernandes,2024-07-28,0.3363013485999248
Capitão Wagner,2024-07-28,0.22388366628364245
Evandro Leitão,2024-07-28,0.3457303087870319
José Sarto,2024-07-28,0.09408467632940089
André Fernandes,2024-07-29,0.33615247859180275
Capitão Wagner,2024-07-29,0.23440778301518167
Evandro Leitão,2024-07-29,0.33906060206903244
José Sarto,2024-07-29,0.09037913632398316
André Fernandes,2024-07-30,0.3383217144895597
Capitão Wagner,2024-07-30,0.21482186434900824
Evandro Leitão,2024-07-30,0.35985955871457836
José Sarto,2024-07-30,0.08699686244685365
André Fernandes,2024-07-31,0.367953748647374
Capitão Wagner,2024-07-31,0.2111417018593582
Evandro Leitão,2024-07-31,0.30210763768426274
José Sarto,2024-07-31,0.11879691180900505
André Fernandes,2024-08-01,0.34778799864496507
Capitão Wagner,2024-08-01,0.2536793704008643
Evandro Leitão,2024-08-01,0.26792910288849225
José Sarto,2024-08-01,0.13060352806567835
André Fernandes,2024-08-02,0.3854174644785236
Capitão Wagner,2024-08-02,0.1713241409213181
Evandro Leitão,2024-08-02,0.32143170841335894
José Sarto,2024-08-02,0.12182668618679937
André Fernandes,2024-08-03,0.41250237422881036
Capitão Wagner,2024-08-03,0.2139699885119461
Evandro Leitão,2024-08-03,0.295517881976377
José Sarto,2024-08-03,0.07800975528286651
André Fernandes,2024-08-04,0.34836386847124756
Capitão Wagner,2024-08-04,0.20006452748455023
Evandro Leitão,2024-08-04,0.386161239355611
José Sarto,2024-08-04,0.06541036468859118
André Fernandes,2024-08-05,0.3984612537913088
Capitão Wagner,2024-08-05,0.1940433255329905
Evandro Leitão,2024-08-05,0.3358149129712208
José Sarto,2024-08-05,0.0716805077044799
André Fernandes,2024-08-06,0.38384119165961345
Capitão Wagner,2024-08-06,0.18754056869523442
Evandro Leitão,2024-08-06,0.3600994356588881
José Sarto,2024-08-06,0.06851880398626409
André Fernandes,2024-08-07,0.41008445954188033
Capitão Wagner,2024-08-07,0.15029834588731217
Evandro Leitão,2024-08-07,0.39498137298998803
José Sarto,2024-08-07,0.04463582158081946
André Fernandes,2024-08-08,0.38814928034761376
Capitão Wagner,2024-08-08,0.19209780432840387
Evandro Leitão,2024-08-08,0.33973204592467166
José Sarto,2024-08-08,0.08002086939931077
André Fernandes,2024-08-09,0.3798537405020216
Capitão Wagner,2024-08-09,0.20721622583107782
Evandro Leitão,2024-08-09,0.34952936836503984
José Sarto,2024-08-09,0.0634006653018608
André Fernandes,2024-08-10,0.36616743901352444
Capitão Wagner,2024-08-10,0.14585265073601433
Evandro Leitão,2024-08-10,0.3966331345930973
José Sarto,2024-08-10,0.0913467756573639
André Fernandes,2024-08-11,0.38523233055090406
Capitão Wagner,2024-08-11,0.14590590652952223
Evandro Leitão,2024-08-11,0.39693032425028607
José Sarto,2024-08-11,0.07193143866928767
André Fernandes,2024-08-12,0.34653954361972233
Capitão Wagner,2024-08-12,0.17463129926563553
Evandro Leitão,2024-08-12,0.35526878141921525
José Sarto,2024-08-12,0.12356037569542686
André Fernandes,2024-08-13,0.3802261128523947
Capitão Wagner,2024-08-13,0.1628580698641624
Evandro Leitão,2024-08-13,0.3945227982179954
José Sarto,2024-08-13,0.06239301906544751
André Fernandes,2024-08-14,0.3657779914958554
Capitão Wagner,2024-08-14,0.1957346462763073
Evandro Leitão,2024-08-14,0.3380585610820696
José Sarto,2024-08-14,0.10042880114576772
André Fernandes,2024-08-15,0.42134977799974127
Capitão Wagner,2024-08-15,0.1968039734074514
Evandro Leitão,2024-08-15,0.3093594839295354
José Sarto,2024-08-15,0.072486764663272
André Fernandes,2024-08-16,0.3630800081172113
Capitão Wagner,2024-08-16,0.22315147664152227
Evandro Leitão,2024-08-16,0.32751533569253805
José Sarto,2024-08-16,0.08625317954872844
André Fernandes,2024-08-17,0.3818443625658397
Capitão Wagner,2024-08-17,0.15271070400471531
Evandro Leitão,2024-08-17,0.30772147369705577
José Sarto,2024-08-17,0.15772345973238927
André Fernandes,2024-08-18,0.41305787684395845
Capitão Wagner,2024-08-18,0.21080428414351307
Evandro Leitão,2024-08-18,0.3209088737356944
José Sarto,2024-08-18,0.055228965276834054
André Fernandes,2024-08-19,0.4308241307390741
Capitão Wagner,2024-08-19,0.1661998244064356
Evandro Leitão,2024-08-19,0.3312353403208642
José Sarto,2024-08-19,0.07174070453362599
André Fernandes,2024-08-20,0.32194990430573817
Capitão Wagner,2024-08-20,0.2576874559494717
Evandro Leitão,2024-08-20,0.34893375831863055
José Sarto,2024-08-20,0.07142888142615962
André Fernandes,2024-08-21,0.26344406823937305
Capitão Wagner,2024-08-21,0.28677102122622855
Evandro Leitão,2024-08-21,0.34920762991712045
José Sarto,2024-08-21,0.100577280617278
André Fernandes,2024-08-22,0.31008345132666937
Capitão Wagner,2024-08-22,0.26734994422775654
Evandro Leitão,2024-08-22,0.32757633803372743
