Candidate,dt,vote_intention
André Fernandes,2024-07-05,0.19372065237951497
Capitão Wagner,2024-07-05,0.35409217661052755
Evandro Leitão,2024-07-05,0.20871193442045413
José Sarto,2024-07-05,0.24347523658950335
André Fernandes,2024-07-06,0.21737420559872622
Capitão Wagner,2024-07-06,0.37068693781460665
Evandro Leitão,2024-07-06,0.1493042073254634
José Sarto,2024-07-06,0.2626346492612037
André Fernandes,2024-07-07,0.2673463684010574
Capitão Wagner,2024-07-07,0.32381100427888565
Evandro Leitão,2024-07-07,0.16520704515026902
José Sarto,2024-07-07,0.2436355821697879
André Fernandes,2024-07-08,0.18804562350222673
Capitão Wagner,2024-07-08,0.37064950641064787
Evandro Leitão,2024-07-08,0.14327419621230902
José Sarto,2024-07-08,0.29803067387481635
André Fernandes,2024-07-09,0.22452684567859196
Capitão Wagner,2024-07-09,0.35243633014954945
Evandro Leitão,2024-07-09,0.1638408909095874
José Sarto,2024-07-09,0.2591959332622712
André Fernandes,2024-07-10,0.16197766163602584
Capitão Wagner,2024-07-10,0.4266281752794695
Evandro Leitão,2024-07-10,0.18398281181605292
José Sarto,2024-07-10,0.22741135126845174
André Fernandes,2024-07-11,0.22131533724683888
Capitão Wagner,2024-07-11,0.3952895099845125
Evandro Leitão,2024-07-11,0.11930723729568389
José Sarto,2024-07-11,0.26408791547296473
André Fernandes,2024-07-12,0.17712285007608458
Capitão Wagner,2024-07-12,0.38521072295206765
Evandro Leitão,2024-07-12,0.17219892880921706
José Sarto,2024-07-12,0.2654674981626307
André Fernandes,2024-07-13,0.16333104897788173
Capitão Wagner,2024-07-13,0.370323886619329
Evandro Leitão,2024-07-13,0.2012915405435912
José Sarto,2024-07-13,0.2650535238591981
André Fernandes,2024-07-14,0.13171073637308078
Capitão Wagner,2024-07-14,0.35391577330906826
Evandro Leitão,2024-07-14,0.25573754289849665
José Sarto,2024-07-14,0.2586359474193543
André Fernandes,2024-07-15,0.2335662020022755
Capitão Wagner,2024-07-15,0.327006874933029
Evandro Leitão,2024-07-15,0.20235268503590667
José Sarto,2024-07-15,0.23707423802878883
André Fernandes,2024-07-16,0.27426417811810866
Capitão Wagner,2024-07-16,0.34617997334175205
Evandro Leitão,2024-07-16,0.21636948913154969
José Sarto,2024-07-16,0.16318635940858955
André Fernandes,2024-07-17,0.2491097673098368
Capitão Wagner,2024-07-17,0.32363006462171884
Evandro Leitão,2024-07-17,0.21026690064427944
José Sarto,2024-07-17,0.2169932674241649
André Fernandes,2024-07-18,0.24852711412430145
Capitão Wagner,2024-07-18,0.36491680903954543
Evandro Leitão,2024-07-18,0.10920257560656851
José Sarto,2024-07-18,0.2773535012295846
André Fernandes,2024-07-19,0.263986640499241
Capitão Wagner,2024-07-19,0.3773427187808773
Evandro Leitão,2024-07-19,0.16003196422839255
José Sarto,2024-07-19,0.1986386764914892
André Fernandes,2024-07-20,0.2550376217354154
Capitão Wagner,2024-07-20,0.40059368014231467
Evandro Leitão,2024-07-20,0.1129546819262472
José Sarto,2024-07-20,0.2314140161960227
André Fernandes,2024-07-21,0.2782101082452222
Capitão Wagner,2024-07-21,0.3737937866280899
Evandro Leitão,2024-07-21,0.10379723377778219
José Sarto,2024-07-21,0.24419887134890578
André Fernandes,2024-07-22,0.29329392479149513
Capitão Wagner,2024-07-22,0.3612579280963484
Evandro Leitão,2024-07-22,0.0758912774784877
José Sarto,2024-07-22,0.26955686963366876
André Fernandes,2024-07-23,0.2861590037416455
Capitão Wagner,2024-07-23,0.38297937632940016
Evandro Leitão,2024-07-23,0.11533582689396885
José Sarto,2024-07-23,0.21552579303498556
André Fernandes,2024-07-24,0.3030655225060616
Capitão Wagner,2024-07-24,0.39179936024432827
Evandro Leitão,2024-07-24,0.10708842586520233
José Sarto,2024-07-24,0.19804669138440778
André Fernandes,2024-07-25,0.3248655028043166
Capitão Wagner,2024-07-25,0.3335475643828013
Evandro Leitão,2024-07-25,0.09706820161766046
José Sarto,2024-07-25,0.24451873119522166
André Fernandes,2024-07-26,0.30212871957217746
Capitão Wagner,2024-07-26,0.360044954058262
Evandro Leitão,2024-07-26,0.11758651229825852
José Sarto,2024-07-26,0.22023981407130205
André Fernandes,2024-07-27,0.33963266409599413
Capitão Wagner,2024-07-27,0.3199012725103826
Evandro Leitão,2024-07-27,0.15126585736407347
José Sarto,2024-07-27,0.1892002060295498
André Fernandes,2024-07-28,0.3226425512728491
Capitão Wagner,2024-07-28,0.3277831703718876
Evandro Leitão,2024-07-28,0.1991862974381577
José Sarto,2024-07-28,0.15038798091710562
André Fernandes,2024-07-29,0.3109634020587652
Capitão Wagner,2024-07-29,0.324394196811987
Evandro Leitão,2024-07-29,0.10564793415192641
José Sarto,2024-07-29,0.25899446697732137
André Fernandes,2024-07-30,0.2718935622845764
Capitão Wagner,2024-07-30,0.3091116191673812
Evandro Leitão,2024-07-30,0.2470726586886988
José Sarto,2024-07-30,0.17192215985934356
André Fernandes,2024-07-31,0.30887718158101124
Capitão Wagner,2024-07-31,0.3007358287665026
Evandro Leitão,2024-07-31,0.15718881419450592
José Sarto,2024-07-31,0.23319817545798024
André Fernandes,2024-08-01,0.3104296369700713
Capitão Wagner,2024-08-01,0.355986627531257
Evandro Leitão,2024-08-01,0.13184221395546472
José Sarto,2024-08-01,0.20174152154320696
André Fernandes,2024-08-02,0.34972032813632076
Capitão Wagner,2024-08-02,0.3359426681534571
Evandro Leitão,2024-08-02,0.16602168796598502
José Sarto,2024-08-02,0.14831531574423712
André Fernandes,2024-08-03,0.3494129450097169
Capitão Wagner,2024-08-03,0.3124921266263218
Evandro Leitão,2024-08-03,0.1280997686055102
José Sarto,2024-08-03,0.209995159758451
André Fernandes,2024-08-04,0.34761474192883546
Capitão Wagner,2024-08-04,0.302985477299726
Evandro Leitão,2024-08-04,0.2480908872200585
José Sarto,2024-08-04,0.10130889355138002
André Fernandes,2024-08-05,0.35470203567394126
Capitão Wagner,2024-08-05,0.30004212916107076
Evandro Leitão,2024-08-05,0.18254970825292446
José Sarto,2024-08-05,0.16270612691206354
André Fernandes,2024-08-06,0.3391259708772566
Capitão Wagner,2024-08-06,0.31775963645970506
Evandro Leitão,2024-08-06,0.1692519101783641
José Sarto,2024-08-06,0.17386248248467423
André Fernandes,2024-08-07,0.34722365567113017
Capitão Wagner,2024-08-07,0.32585645433084454
Evandro Leitão,2024-08-07,0.21939839153914228
José Sarto,2024-08-07,0.107521498458883
André Fernandes,2024-08-08,0.36814262557183475
Capitão Wagner,2024-08-08,0.28266846555447395
Evandro Leitão,2024-08-08,0.2178430607991658
José Sarto,2024-08-08,0.13134584807452548
André Fernandes,2024-08-09,0.42013561709698444
Capitão Wagner,2024-08-09,0.2937798209372625
Evandro Leitão,2024-08-09,0.15039261027754167
José Sarto,2024-08-09,0.13569195168821147
André Fernandes,2024-08-10,0.423394364683765
Capitão Wagner,2024-08-10,0.22786171892990162
