post_id,user_id,text,dt,platform,likeCount,new_candidate,new_classification,count
3895249450797744,evandroleitao,"A pesquisa Quaest / TV Verdes Mares também confirmou: é Evandro 13 no 2° turno!

Agora é o momento de seguirmos mobilizados, conversar com todo mundo e conquistar ainda mais votos.

Vamos juntos fazer história e transformar nossa cidade! ⭐❤️

#JuntosFortalezaPodeMuitoMais
 
#PraTodoMundo a publicação mostra o gráfico de crescimento de Evandro, candidato a prefeito de Fortaleza, em pesquisa de 05 de outubro de 2024.
 
Pesquisa Quaest, contratada pela TV Verdes Mares, divulgada em  divulgada em 05/10/2024. Registrada no TSE sob o número CE-02146/2024. A pesquisa ouviu 1.002 eleitores entre os dias 04 e 05/10/2024. Margem de erro de 3% e nível de confiança de 95%.

Propaganda eleitoral. 56.516.157/0001-29 | Coligação Juntos, Fortaleza Pode Muito Mais. Federação Brasil da Esperança (PT/PCDOB/PV)/PP/PSD/PSB/Republicanos/MDB",2024-10-05,Facebook,73.0,Evandro Leitão,Pro-Evandro Leitão,114.0
980228394117217,drvicentept,"AMANHÃ É 13123 E 13!

Hoje fechamos o último dia de campanha com um bandeiraço lindo na Esquina Democrática!

Essa caminhada foi marcada pela força de cada um de vocês, e tenho certeza que o caminho que trilhamos foi o certo.

Amanhã é o dia de confirmar nas urnas: Dr. Vicente 13123 e Evandro 13 prefeito! ✊🌟

CNPJ: 56.514.692/0001-40 - FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT/PC do B/PV)

#DrVicente #DrVicenteSaúde #VereadorDrVicente #DrVicente13123",2024-10-05,Facebook,5.0,Evandro Leitão,Pro-Evandro Leitão,7.0
27421758587422477,evandroleitao,"Tá chegando a hora, Time 13!

Este domingo, dia 6, é o grande dia de confirmar 13 nas urnas e votar por mais justiça social, igualdade e oportunidades para a nossa gente de Fortaleza! 🌟

Vote Evandro prefeito! Vote 13! ❤️

#PraTodoMundo Vídeo traz imagens de várias pessoas durante a campanha confirmando seu voto no Evandro 13 prefeito de Fortaleza.

Propaganda eleitoral. 56.516.157/0001-29 | Coligação Juntos, Fortaleza Pode Muito Mais. Federação Brasil da Esperança (PT/PCDOB/PV)/PP/PSD/PSB/Republicanos/MDB)",2024-10-05,Facebook,60.0,Evandro Leitão,Pro-Evandro Leitão,115.0
1189249838801723,evandroleitao,"Pesquisa Datafolha confirma: é Evandro 13 no 2° turno!

A onda vermelha tomou conta de Fortaleza e agora é hora de mobilizar ainda mais!

Vamos juntos conquistar cada voto, levar esperança e fazer a nossa cidade avançar. 

Vem com a gente, vem com Evandro 13 e fortaleça essa caminhada rumo à vitória ! ❤️⭐

#JuntosFortalezaPodeMuitoMais
 
#PraTodoMundo a publicação mostra o gráfico de crescimento de Evandro, candidato a prefeito de Fortaleza, em pesquisa de 05 de outubro de 2024.
 
Pesquisa Instituto Datafolha, contratada pelo Jornal O Povo e divulgada em 05/10/2024. Registrada no TSE sob o número CE-03351/2024. A pesquisa ouviu 1.134 eleitores entre os dias 04 e 05/10/2024. Margem de erro de 3% e nível de confiança de 95%.

Propaganda eleitoral. 56.516.157/0001-29 | Coligação Juntos, Fortaleza Pode Muito Mais. Federação Brasil da Esperança (PT/PCDOB/PV)/PP/PSD/PSB/Republicanos/MDB.",2024-10-05,Facebook,85.0,Evandro Leitão,Pro-Evandro Leitão,98.0
917003380485204,Brasil247,"Datafolha em Fortaleza: disputa será entre Evandro Leitão, do PT, e bolsonarista",2024-10-05,Facebook,77.0,Evandro Leitão,Pro-André Fernandes,84.0
1298247414684838,drvicentept,"É AMANHÃ 🌟!

Já separou a sua colinha para o dia da votação? 

Não esquece: primeiro, Dr. Vicente 13123 para vereador, e depois Evandro Leitão 13 para prefeito. 

Vamos juntos garantir uma Fortaleza com mais saúde, cuidado e compromisso!

Marca aqui quem também já está preparado para amanhã e vamos fechar essa campanha com força total! ✊

 CNPJ: 56.514.692/0001-40 - FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT/PC do B/PV)

#DrVicente #DrVicenteSaúde #VereadorDrVicente #DrVicente13123",2024-10-05,Facebook,6.0,Evandro Leitão,Pro-Evandro Leitão,8.0
892864949418592,gleisi.hoffmann,É Evandro Leitão prefeito! Vem com o 13 pra Fortaleza avançar ❤️🌟🤝🏼,2024-10-05,Facebook,162.0,Evandro Leitão,Pro-Evandro Leitão,194.0
1474901997233819,Ootimista,"Esta é a quinta pesquisa Datafolha nesta eleição municipal. André Fernandes e Evandro Leitão apresentaram crescimento em todas as rodadas. Wagner caiu em todas. Sarto cresceu entre a primeira e a segunda rodada. Desde então vem em queda. (Foto: montagem)
A um dia da eleição para prefeito de Fortaleza, pesquisa Datafolha mostra André Fernandes (PL) com 33% das intenções de votos válidos e Evandro Leitão (PT) com 31%.  Capitão Wagner (União Brasil) aparece na pesquisa com 17%. José Sarto (PDT) ficou com 14%. Os votos válidos excluem nulos, em branco e os que não sabem em quem votar. Confira o resultado:

André Fernandes (PL): 33%
Evandro Leitão (PT): 31%
Capitão Wagner (União Brasil): 17%
José Sarto (PDT): 14%
Eduardo Girão (Novo): 3%
Técio Nunes (Psol): 1%
George Lima (Solidariedade): 1%
Zé Batista (PSTU): 0
Chico Malta (PCB): 0
Total de votos

André Fernandes e Evandro Leitão seguem em crescimento na pesquisa. No total de votos, cada um subiu 3 pontos percentuais. André tem 30% do total de votos e Evandro, 28%.

Capitão Wagner teve oscilação negativa de 1 ponto e ficou com 16%. José Sarto teve oscilação negativa de 2 pontos e apareceu com 13%. Veja o resultado em votos totais:
André Fernandes (PL): 30% (+3)
Evandro Leitão (PT): 28% (+3)
Capitão Wagner (União Brasil): 17% (-1)
José Sarto (PDT): 13% (-2)
Eduardo Girão (Novo): 3% (-1)
Técio Nunes (Psol): 1% (=)
George Lima (Solidariedade): 1% (=)
Zé Batista (PSTU): 0 (=)
Chico Malta (PCB): 0
Em branco/nulo/nenhum: 6% (-1)
Não sabe: 3% (=)

Confira a matéria completa em ootimista.com.br",2024-10-05,Facebook,1.0,André Fernandes,Pro-André Fernandes,1.0
1720413878761592,BrunoPedrosaCeara,"Minha maior inspiração de vida.
Meu exemplo.
Quero agradecer muito o carinho, as palavras de incentivo e de inspiração para um novo projeto pra Fortaleza.

Aos meus amigos e amigas, familiares e aqueles que acompanham e confiam em nosso trabalho no litoral, no sertão e em Fortaleza e que amigos votam em Fortaleza, peço um voto de confiança em minha mamãe:

ADRIANA PEDROSA 13000

Para prefeito de Fortaleza, meu grande amigo:

EVANDRO LEITÃO 13

Que Jesus nos abençoe, Nossa Senhora nos guarde e até a vitória, com as bençãos de Deus.",2024-10-05,Facebook,1.0,Evandro Leitão,Pro-Evandro Leitão,1.0
1259733395058304,OPOVO,"André Fernandes e Evandro Leitão cresceram e Wagner e Sarto tiveram oscilações negativas. Se a pesquisa captou o real sentimento do eleitor, o candidato do PL deve estar no 2º turno contra o candidato do PT. #Eleições2024opovo #Eleições2024",2024-10-05,Facebook,22.0,André Fernandes,Pro-André Fernandes,24.0
1061958788758052,OCafezinho,"A pesquisa eleitoral realizada pelo Instituto Ideia, divulgada neste sábado, 5, revela um cenário de empate técnico entre os principais candidatos à Prefeitura de Fortaleza. André Fernandes (PL) lidera com 25% das intenções de voto, seguido de perto por Evandro Leitão (PT), com 23%, e José Sarto (PDT), que aparece com 20%. Capitão Wagner (União […]

O post Nova pesquisa coloca André Fernandes na liderança em Fortaleza apareceu primeiro em O Cafezinho.",2024-10-05,Facebook,2.0,André Fernandes,Pro-André Fernandes,2.0
