DS_FAIXA_ETARIA,DS_FAIXA_ETARIA2,count,frac,data
16 anos,0,3732,0.002108855,9/13/2024 14:01
17 anos,0,9155,0.005173249,9/13/2024 14:01
18 anos,18 a 24 anos,20192,0.011409966,9/13/2024 14:01
19 anos,18 a 24 anos,24800,0.014013825,9/13/2024 14:01
20 anos,18 a 24 anos,28124,0.01589213,9/13/2024 14:01
21 a 24 anos,18 a 24 anos,129178,0.072995077,9/13/2024 14:01
25 a 29 anos,25 a 34 anos,188414,0.106467776,9/13/2024 14:01
30 a 34 anos,25 a 34 anos,183670,0.103787067,9/13/2024 14:01
35 a 39 anos,35 a 44 anos,199166,0.112543447,9/13/2024 14:01
40 a 44 anos,35 a 44 anos,192334,0.108682864,9/13/2024 14:01
45 a 49 anos,45 a 54 anos,163416,0.092342066,9/13/2024 14:01
50 a 54 anos,45 a 54 anos,147148,0.083149449,9/13/2024 14:01
55 a 59 anos,55 a 65 anos,139229,0.078674631,9/13/2024 14:01
60 a 64 anos,55 a 65 anos,121400,0.068599934,9/13/2024 14:01
65 a 69 anos,Superior a 65 anos,88783,0.050168929,9/13/2024 14:01
70 a 74 anos,Superior a 65 anos,65683,0.037115729,9/13/2024 14:01
75 a 79 anos,Superior a 65 anos,37797,0.021358087,9/13/2024 14:01
80 a 84 anos,Superior a 65 anos,17341,0.009798941,9/13/2024 14:01
85 a 89 anos,Superior a 65 anos,7444,0.004206408,9/13/2024 14:01
90 a 94 anos,Superior a 65 anos,2105,0.00118948,9/13/2024 14:01
95 a 99 anos,Superior a 65 anos,498,0.000281407,9/13/2024 14:01
100 anos ou mais,Superior a 65 anos,62,3.50346E-05,9/13/2024 14:01
Inválida,0,10,5.65074E-06,9/13/2024 14:01
