post_id,user_id,text,dt,platform,likeCount,new_candidate,new_classification,count
C7Cl2fSumis,metropolenews,"  🌎 Siga @metropolenews / O deputado federal André Fernandes (PL) reafirmou que mantém a pré-candidatura à Prefeitura de Fortaleza e criticou o potencial aliado, pré-candidato Capitão Wagner (União Brasil), alegando que Wagner não se alinha às ideologias de direita. André Fernandes disse ainda que não pretende formar aliança com o União Brasil no primeiro turno das eleições municipais.

“Capitão Wagner não se caracteriza como de direita. A direção nacional do partido já disse que Fortaleza é uma prioridade e que vai investir na minha pré-candidatura”, afirma André, conforme publicado pelo Jornal O Globo.

André Fernandes já havia assegurado que sua candidatura era inegociável, apoiada tanto pelo Partido Liberal nacional quanto pelo ex-presidente Jair Bolsonaro (PL).

Na reportagem do O Globo, o material contextualiza a cidade de Fortaleza como uma das sete capitais brasileiras que apresentam divergências internas sobre os rumos do PL na disputa pelas prefeituras.

Em 2024, será a primeira vez que André Fernandes entra na disputa pelo Paço Municipal, enquanto Wagner deve concorrer à eleição municipal pela 3ª vez.

👉 Siga também @alertaceara e @alertacaucaia

⚠️ Para comentar em nossos posts é necessário seguir nosso perfil.

✅️ Participe do nosso canal no WhatsApp (Link na bio ou stories)

.♡ ㅤ. ❍ㅤ. ⎙ㅤ . ⌲
ᶜᵘʳᵗᵃ ᶜᵒᵐᵉⁿᵗᵉ ˢᵃˡᵛᵉ ᶜᵒᵐᵖᵃʳᵗⁱˡʰᵉ
#metropolenews #caucaia #fortaleza #ceara.  ",2024-05-16,Instagram,1347,André Fernandes,Pro-André Fernandes,1347
C7CaxXYBWlh,jornaljangadeiro," J André Fernandes descarta aliança com União Brasil e diz que Capitão Wagner não é de direita. PRIORIDADE DO PARTIDO 

O deputado federal André Fernandes (PL) reafirmou que mantém a pré-candidatura à Prefeitura de Fortaleza e criticou o potencial aliado, pré-candidato Capitão Wagner (União Brasil), alegando que Wagner não se alinha às ideologias de direita. André Fernandes disse ainda que não pretende formar aliança com o União Brasil no primeiro turno das eleições municipais.

“Capitão Wagner não se caracteriza como de direita. A direção nacional do partido já disse que Fortaleza é uma prioridade e que vai investir na minha pré-candidatura”, afirma André, conforme publicado pelo Jornal O Globo.

André Fernandes já havia assegurado que sua candidatura era inegociável, apoiada tanto pelo Partido Liberal nacional quanto pelo ex-presidente Jair Bolsonaro (PL).

Em entrevista à rádio Jangadeiro BandNews FM 101.7, neste mês, Capitão Wagner afirmou que manterá a candidatura. “Vamos torcer que a melhor candidatura vá até o final. Se lá na frente a gente perceber alguma coisa, a gente pode sentar novamente e dialogar”.

Na reportagem do O Globo, o material contextualiza a cidade de Fortaleza como uma das sete capitais brasileiras que apresentam divergências internas sobre os rumos do PL na disputa pelas prefeituras.

Em 2024, será a primeira vez que André Fernandes entra na disputa pelo Paço Municipal, enquanto Wagner deve concorrer à eleição municipal pela 3ª vez.

(Foto: Zeca Ribeiro / Câmara dos Deputados)

#JornalJangadeiro #ChamaJangadeiro #AndréFernandes #CapitãoWagner #JJFeed #JJPolítica.  ",2024-05-16,Instagram,3877,André Fernandes,Pro-André Fernandes,3877
C7B7DSNApsl,cearaagora," Ceará Agora PELAMETADE PELAMETADE NADAFICA André Fernandes reafirma pré-candidatura, descarta aliança com União Brasil e diz que Capitão Wagner não é de direita VEJA MATERIA COMPLETA N SITE CEARAAGORA.COM.BR. O deputado federal André Fernandes (PL) voltou a reafirmar a pré-candidatura à Prefeitura de Fortaleza, descartou uma aliança com o União Brasil e disse que o Capitão Wagner não é direita, daí a incompatibilidade para um acordo no primeiro turno.

‘’Capitão Wagner não se caracteriza como de direita. A direção nacional do partido já disse que Fortaleza é uma prioridade e que vai investir na minha pré-candidatura’’, disse André, em declarações publicadas pelo Jornal O Globo.

A reportagem contextualiza Fortaleza como uma das 7 capitais brasileiras que apresentam divergências internas sobre os rumos do PL na disputa pelas prefeituras. O deputado federal André Fernandes teve a pré-candidatura à Prefeitura lançada pelo ex-presidente Jair Bolsonaro.

As informações que circulam nos bastidores políticos apontam que o nome de Fernandes não é consenso dentro do PL, mas ele, André Fernandes, aposta que, como estratégia para manter o legado bolsonarista, o partido não abrirá mão de candidatura própria no primeiro turno em Fortaleza.  ",2024-05-16,Instagram,174,André Fernandes,Pro-André Fernandes,174
C7A0yt-KP9c,gcmais," ""ርተ RESPOSTA Sarto questiona fala de Capitão Wagner sobre telemedicina em Fortaleza. O prefeito José Sarto questionou a afirmação do presidente do União Brasil no Ceará, Capitão Wagner sobre a implantação da telemedicina em Fortaleza. Durante entrevista à Rádio Jovem Pan News Fortaleza, Wagner afirmou que a prefeitura havia recusado um convênio para implementar o serviço na capital cearense.

""Em Maracanaú a gente implementou a telemedicina em parceria com o Ministério da Saúde e o Hospital Sírio-Libanês e esse convênio foi oferecido para todos os municípios do Nordeste e Fortaleza não aceitou esse convênio, cujo município não gasta nada, o município recebe os equipamentos, o Ministério da Saúde é quem paga pela consulta ao médico e prefeitura de Fortaleza resolveu não aderir a esse convênio"", disse Wagner.

""O Capitão Wagner mente ou está desinformado. Ele disse, em entrevista à Jovem Pan, que a @prefeituradefortaleza recusou a telemedicina. É mentira! A verdade é que o projeto está em implantação e já atende a milhares de pacientes em diversas especialidades"", respondeu Sarto.

🌐 👉 Clique no link da bio e confira o conteúdo.

📸 Reprodução

#GCMAIS #AcesseConteúdo #CompartilheInformação.  ",2024-05-16,Instagram,61,Capitão Wagner,Against-Capitão Wagner,61
C7ClslhPBXL,markoszaurelio," ‎'‎MZ Portal WHATSAPP: NA NANOSSA FRENTE NANOSSAFRENTE اا f (85) 9.8160.3847 André Fernandes descarta aliança com União Brasil e diz que Capitão Wagner não é de direita‎'‎. PRIORIDADE DO PARTIDO 

O deputado estadual André Fernandes (PL) reafirmou que mantém a pré-candidatura à Prefeitura de Fortaleza e criticou o potencial aliado, pré-candidato Capitão Wagner (União Brasil), alegando que Wagner não se alinha às ideologias de direita. André Fernandes disse ainda que não pretende formar aliança com o União Brasil no primeiro turno das eleições municipais.

“Capitão Wagner não se caracteriza como de direita. A direção nacional do partido já disse que Fortaleza é uma prioridade e que vai investir na minha pré-candidatura”, afirma André, conforme publicado pelo Jornal O Globo.

André Fernandes já havia assegurado que sua candidatura era inegociável, apoiada tanto pelo Partido Liberal nacional quanto pelo ex-presidente Jair Bolsonaro (PL).

Em entrevista à rádio Jangadeiro BandNews FM 101.7, neste mês, Capitão Wagner afirmou que manterá a candidatura. “Vamos torcer que a melhor candidatura vá até o final. Se lá na frente a gente perceber alguma coisa, a gente pode sentar novamente e dialogar”.

Na reportagem do O Globo, o material contextualiza a cidade de Fortaleza como uma das sete capitais brasileiras que apresentam divergências internas sobre os rumos do PL na disputa pelas prefeituras.

Em 2024, será a primeira vez que André Fernandes entra na disputa pelo Paço Municipal, enquanto Wagner deve concorrer à eleição municipal pela 3ª vez.

(Foto: Zeca Ribeiro / Câmara dos Deputados).  ",2024-05-16,Instagram,35,Capitão Wagner,Against-Capitão Wagner,35
C7C1C1IsEW1,opiniaoce," σ Rm 특리가조 POLÍTICA sbt) urb.NEWS tvcâmara sbt Sarto rebate criticas de Evandro: ""Quem colocou a Taxa do Lixo no Brasil foi o partido dele"" Leia mais em www.opiniaoce.com.br. #Política • O prefeito de Fortaleza, José Sarto (PDT), respondeu em coletiva nesta quinta-feira (16) às recentes críticas que o presidente da Assembleia Legislativa do Estado do Ceará (Alece) e pré-candidato à Prefeitura de Fortaleza, Evandro Leitão (PT), fez à sua gestão acerca da Taxa do Lixo. Ao OPINIÃO CE, Sarto afirmou que foi o PT que criou tal cobrança. “Quem colocou a Taxa do Lixo no Brasil foi o partido desse candidato”.

A fala do prefeito diz respeito à Lei Nº 11.445, de 2007, sancionada pelo presidente Lula (PT) durante o seu segundo mandato, e que estabeleceu a prestação do manejo dos resíduos sólidos. Em 2020, o ex-presidente Jair Bolsonaro (PL) sancionou a Lei Nº 14.026, que atualizou a Legislação.

“Eu estou muito preocupado em fazer uma gestão para a cidade. A Taxa do Lixo é um imperativo legal estabelecido pelo Congresso Nacional. Se há quem reclame, peça ao Congresso Nacional para retirar essa obrigação legal, que a gente retira a Taxa do Lixo”, disse Sarto.

O prefeito afirmou que as críticas sobre a taxa do Serviço Público de Manejo de Resíduos Sólidos Urbanos (TMRSU) – nome oficial da cobrança -, “mais parece que é um jogo para a plateia”. Segundo Sarto, das 26 capitais dos estados brasileiros, apenas três não cobram a taxa, já que possuem acordos que custeiam a cobrança, por meio de financiamento ou incentivo.

🔗 Siga a gente nas redes sociais e acesse o nosso site opiniaoce.com.br. Link na bio! 

📸 @micaelamesant/ Especial Opinião CE 

📲Tiktok: tiktok.com/@opiniao.ce
📲Facebook: facebook.com/opiniaoce
📲Instagram: instagram.com/opiniaoce
📲Twitter: twitter.com/grupoopiniao

#informação #comunicação #jornalismocearense #Estado #Brasil #Ceará #opiniaoce #jornalismo.  ",2024-05-16,Instagram,49,Evandro Leitão,Against-Evandro Leitão,49
C7Bx_wGLD-t,frissononline,"  Pré-candidato à Prefeitura de Fortaleza, Capitão Wagner, do União Brasil, foi entrevistado na rádio Jovem Pan News Fortaleza e analisou o cenário eleitoral deste ano, citando a ex-prefeita e deputada federal Luizianne Lins. “Foi tratorada por uma liderança que mal se filiou ao PT, que foi o Evandro Leitão, que tirou ela do meio e se tornou o pré-candidato do PT. Isso muito pela força do Camilo (Santana), muito pela articulação que foi feita pelo ex-governador. Hoje, o PT está se parecendo muito com qualquer outro partido”, declarou. Saiba mais em nosso site através do link na bio.

#frisson #especial #conteudo #politico #colunafrisson #capitaowagner #colunasocial.  ",2024-05-16,Instagram,40,Evandro Leitão,Against-Evandro Leitão,40
C7Co6roOs_4,blogdofinfaoficial,"  George Borja volta a falar em autonomia se eleito. “Ouvirei todos, mas a decisão será minha”

Por Junior Finfa em Pajeú em 16 de maio de 2024 / Editar matéria
@georgeborjafreitas

O pré-candidato à prefeitura de São José do Egito, voltou a dizer em entrevista ao programa Manhã Total, da Rádio Pajeú, que mantém diálogo com Ana Maria e outros nomes para construir a unidade em torno de sua pré-candidatura.

Perguntado sobre o alinhamento com nomes como o dela e do ex-prefeito Augusto Valadares, diz estar conversando de forma incansável com Augusto. “Não temos arestas. A gente sabe que existiram problemas familiares que não nos competem resolvê-los”, disse, confiando em um alinhamento.

Destacou a conversa com Júnior de Gilvaney. Da mesma forma, diz estar dialogando com Ana Maria.

Perguntado sobre a gestão Evandro, disse reconhecer problemas e lacunas. “Os probleams existem. Mas ninguem passa 16 anos no poder sem que tenha algum tipo de desgaste. Existem lacunas e me proponho a resolvê-las. Evandro tem trabalhado diuturnamente, sem esconder os problemas. Mas você não pode tirar o mérito de um cara eleito quatro vezes”.

Respondendo Júnior Finfa sobre a escolha do candidato a vice, disse que está conversando com todos os setores. Citou João de Maria, o diálogo com o União Brasil. a Federação PT/PV e PCdoB, citando Rona Leite e a  própria Ana Maria.

“No PSB teremos que ter apenas um pré-candidato. Estamos resolvendo para resolver no diálogo, sem danos nem perdas”. Disse que São José do Egito não pode voltar ao retrocesso.  ",2024-05-16,Instagram,6,Evandro Leitão,Against-Evandro Leitão,6
C7DAl6-OeJu,opovoonline,"  Os festejos juninos de 2024 estão perto de começar. Com eventos em diversos locais de Fortaleza, a Prefeitura anuncia nesta quinta-feira, 16, a programação completa de shows na capital cearense.

Os eventos vão acontecer nos dias 28, 29 e 30 de junho no Aterrinho da Praia de Iracema.

Em coletiva de imprensa nesta quarta,16, o prefeito de Fortaleza, José Sarto (PDT) disse que o São João de 2024, acontece pela primeira vez após os eventos da covid-19 e que é o momento para as pessoas se encontrarem com elas mesmas, rever os amigos e celebrar as tradições nordestinas.

🔗 Para saber mais sobre a programação, acesse o link em nossa bio.⁠
📷Foto: Reprodução/ Instagram - Divulgação

#opovo #fortaleza #sãojoão #programação.  ",2024-05-16,Instagram,7455,José Sarto,Pro-José Sarto,7455
C7DAl6-OeJu,vidaearteopovo,"  Os festejos juninos de 2024 estão perto de começar. Com eventos em diversos locais de Fortaleza, a Prefeitura anuncia nesta quinta-feira, 16, a programação completa de shows na capital cearense.

Os eventos vão acontecer nos dias 28, 29 e 30 de junho no Aterrinho da Praia de Iracema.

Em coletiva de imprensa nesta quarta,16, o prefeito de Fortaleza, José Sarto (PDT) disse que o São João de 2024, acontece pela primeira vez após os eventos da covid-19 e que é o momento para as pessoas se encontrarem com elas mesmas, rever os amigos e celebrar as tradições nordestinas.

🔗 Para saber mais sobre a programação, acesse o link em nossa bio.⁠
📷Foto: Reprodução/ Instagram - Divulgação

#opovo #fortaleza #sãojoão #programação.  ",2024-05-16,Instagram,7455,José Sarto,Pro-José Sarto,7455
C7C7_jcsUlD,opiniaoce," LIT Fortaleza PREFEITURA LHCR si AFITAI สีด้กิง CULTURA Com três dias de festa, Prefeitura de Fortaleza lança São João de 2024 com shows e apresentações juninas Leia mais em www.opiniaoce.com.br. #Cultura • O prefeito José Sarto (PDT) apresentou nesta quinta-feira (16), no Paço Municipal, a agenda do São João de Fortaleza 2024, consolidando-o como o “principal evento junino entre as capitais do Brasil”. Com shows, apresentações de quadrilhas juninas e iniciativas voltadas para a sustentabilidade, o evento está marcada para ocorrer de 28 a 30 de junho no Aterrinho da Praia de Iracema. Os destaques musicais deste ano incluem performances de Geraldo Azevedo, Zezé Di Camargo & Luciano, dentre outros.

Além dos shows, duas quadrilhas juninas serão selecionadas diariamente para se apresentarem no palco, com base em critérios estabelecidos pela Secretaria Municipal de Cultura de Fortaleza. A estimativa é de que 500 mil de pessoas participem das festividades ao longo dos três dias, impulsionando cerca de 1.200 pequenos empreendimentos, como barracas de comida, ambulantes, estabelecimentos comerciais e artesanatos.

🔗 Siga a gente nas redes sociais e acesse o nosso site opiniaoce.com.br. Link na bio! 

📸 Priscila Baima/Opinião CE 

📲Tiktok: tiktok.com/@opiniao.ce
📲Facebook: facebook.com/opiniaoce
📲Instagram: instagram.com/opiniaoce
📲Twitter: twitter.com/grupoopiniao

#informação #comunicação #jornalismocearense #Estado #Brasil #Ceará #opiniaoce #jornalismo.  ",2024-05-16,Instagram,12,José Sarto,Pro-José Sarto,12
C7CruUHsL_-,jornaljangadeiro,"  TRÊS DIAS DE FESTA

O São João de Fortaleza 2024 terá Geraldo Azevedo, Victor e Léo, Zezé Di Camargo e Luciano, Zé Vaqueiro, Magníficos e Lagosta Bronzeada. O anúncio foi feito durante a tarde desta quinta-feira (16), em evento realizado pela Prefeitura.

O evento é gratuito e acontecerá nos dias 28, 29 e 30 de junho no Aterrinho da Praia de Iracema, com realização da Prefeitura de Fortaleza e promoção da Jangadeiro. 

👉🏻 DESLIZE PARA O LADO E VEJA AS ATRAÇÕES DE CADA DIA

Durante o anúncio, o prefeito José Sarto (PDT) destacou a importância de consolidar os eventos festivos na capital, além da economia gerada, que é estimada em bilhões de reais.

“Dentro de quatro anos seremos o maior São João de capital do Brasil”, pontuou o prefeito. 

O evento conta com parceria da iniciativa privada. Segundo a prefeitura, o cachê de todos os artistas será pago por patrocinadores. A estimativa é de 500 mil pessoas nos três dias de evento.

A programação também inclui uma central de reciclagem, que contará com o reforço de 10 mil agentes e funcionará todos os dias de festa, com prioridade nos condomínios residenciais. Esta central oferecerá serviços de orientação em educação ambiental e coleta seletiva.

#JornalJangadeiro #ChamaJangadeiro #SãoJoãoFortaleza #JJFeed #JJCultura.  ",2024-05-16,Instagram,2360,José Sarto,Pro-José Sarto,2360
C7ChhayyzZV,gcmais," c+ QUI MadE 영영별일보장 LIMPEZA URBANA Carroceiros cadastrados na Prefeitura vão receber aumento no valor pago por entulhos. Os carroceiros cadastrados no programa E-Carroceiro, da Prefeitura de Fortaleza, vão receber aumento no valor pago pelo descarte correto dos entulhos. As bonificações e o descarte de podas de árvores e materiais volumosos também vão aumentar. Os profissionais começaram a receber, também, kits de Equipamentos de Proteção Individual (EPI) desde a última terça-feira (14). Ações fazem parte do Movimento Fortaleza Limpa.

Em parceria com os Ecopontos da Capital, o Movimento Fortaleza Limpa reúne mais de 10 mil agentes com iniciativas de construção de uma cidade mais limpa. O projeto foi lançado, na última quinta-feira (9), pelo prefeito José Sarto (PDT).

🌐 👉 Clique no link da bio e confira o conteúdo.

📸 Prefeitura de Fortaleza

#GCMAIS #AcesseConteúdo #CompartilheInformação.  ",2024-05-16,Instagram,108,José Sarto,Pro-José Sarto,108
C7Cfz23xMn6,opiniaoce," σ POLÍTICA Vereadores aprovam extinção de duas áreas de proteção e recuperação ambiental em Fortaleza Lei mais em www.opiniaoce.com.br. #Fortaleza • A Câmara Municipal de Fortaleza (CMFor) aprovou nesta quinta-feira (16) dois Projetos de Lei Complementar (PLC) que extinguem duas áreas de Zona de Recuperação Ambiental (ZRA) em Fortaleza. Uma delas também estava inserida como Zona de Proteção Ambiental (ZPA). As duas regiões – de ZPA ou ZRA desde 2009, por meio de Lei Complementar – estão localizadas na Regional 3, nos bairros Presidente Kennedy e São Gerardo. Enquanto um quadrilátero passará a ser uma Zona de Ocupação Preferencial 1 (ZOP 1), o outro será uma Zona de Recuperação Urbana 1 (ZRU 1). A oposição do prefeito José Sarto (PDT) criticou a aprovação dos projetos, sem conseguir barrá-los no Legislativo. Durante a sessão, aliás, foram registradas discussões entre parlamentares de oposição e base do Executivo municipal.

A vereadora Adriana Gerônimo (Psol) afirmou que mesmo as áreas compreendendo edificações construídas, elas precisariam de investimento público para chegar novamente a ser uma área ambiental preservada. “[Fortaleza está] acabando com mais uma área que deveria ser uma de proteção a e recuperação ambiental na cidade, isso para atender o desejo de uma empresa privada que de maneira ilegal ocupou o terreno e hoje está ganhando o benefício da Prefeitura”, disse, referindo-se ao PLC 28.

🔗 Leia mais no nosso portal. Link na bio!
📸 Divulgação/CMFor
📱 Segue a gente e vem ficar por dentro de tudo que acontece no Ceará e no mundo!

📲Tiktok: tiktok.com/@opiniao.ce
📲Instagram: instagram.com/opiniaoce
📲Facebook: facebook.com/opiniaoce
📲Twitter: twitter.com/grupoopiniao

#informação #comunicação #jornalismocearense #Estado #Brasil #Ceará #opiniaoce #jornalismo.  ",2024-05-16,Instagram,52,José Sarto,Against-José Sarto,52
