Candidate,dt,vote_intention
André Fernandes,2024-07-05,0.313550740921006
Capitão Wagner,2024-07-05,0.28253104005439267
Evandro Leitão,2024-07-05,0.18966951767999557
José Sarto,2024-07-05,0.2142487013446058
André Fernandes,2024-07-06,0.3396681848063604
Capitão Wagner,2024-07-06,0.23035995682994465
Evandro Leitão,2024-07-06,0.19832533569426175
José Sarto,2024-07-06,0.23164652266943317
André Fernandes,2024-07-07,0.38732912733224983
Capitão Wagner,2024-07-07,0.2857172519203097
Evandro Leitão,2024-07-07,0.1331562495657091
José Sarto,2024-07-07,0.19379737118173132
André Fernandes,2024-07-08,0.4190382871342081
Capitão Wagner,2024-07-08,0.2691940042085327
Evandro Leitão,2024-07-08,0.1567798198176839
José Sarto,2024-07-08,0.15498788883957534
André Fernandes,2024-07-09,0.36824649463201437
Capitão Wagner,2024-07-09,0.2529294247623285
Evandro Leitão,2024-07-09,0.19039406649837998
José Sarto,2024-07-09,0.18843001410727725
André Fernandes,2024-07-10,0.35779160512259855
Capitão Wagner,2024-07-10,0.2610835125232725
Evandro Leitão,2024-07-10,0.1658281914221305
José Sarto,2024-07-10,0.2152966909319985
André Fernandes,2024-07-11,0.30448122873329475
Capitão Wagner,2024-07-11,0.2569543654602011
Evandro Leitão,2024-07-11,0.2264230672076645
José Sarto,2024-07-11,0.21214133859883963
André Fernandes,2024-07-12,0.3834554306409419
Capitão Wagner,2024-07-12,0.24204284903865841
Evandro Leitão,2024-07-12,0.1458992303434257
José Sarto,2024-07-12,0.228602489976974
André Fernandes,2024-07-13,0.34360522066964866
Capitão Wagner,2024-07-13,0.28850615349594066
Evandro Leitão,2024-07-13,0.15034565855387233
José Sarto,2024-07-13,0.21754296728053832
André Fernandes,2024-07-14,0.32823760996855234
Capitão Wagner,2024-07-14,0.22385763786196128
Evandro Leitão,2024-07-14,0.2500489292051621
José Sarto,2024-07-14,0.19785582296432427
André Fernandes,2024-07-15,0.3651781464579569
Capitão Wagner,2024-07-15,0.22935326618871166
Evandro Leitão,2024-07-15,0.24827295705258018
José Sarto,2024-07-15,0.15719563030075134
André Fernandes,2024-07-16,0.3704494215805807
Capitão Wagner,2024-07-16,0.20345111516467193
Evandro Leitão,2024-07-16,0.2265614002298916
José Sarto,2024-07-16,0.19953806302485572
André Fernandes,2024-07-17,0.34427069249705466
Capitão Wagner,2024-07-17,0.2491181976142678
Evandro Leitão,2024-07-17,0.2754151784964524
José Sarto,2024-07-17,0.13119593139222513
André Fernandes,2024-07-18,0.3307033820551465
Capitão Wagner,2024-07-18,0.29471062657589847
Evandro Leitão,2024-07-18,0.21884984906139962
José Sarto,2024-07-18,0.1557361423075554
André Fernandes,2024-07-19,0.30290709832055057
Capitão Wagner,2024-07-19,0.2875162813518701
Evandro Leitão,2024-07-19,0.2068171954858371
José Sarto,2024-07-19,0.20275942484174223
