Candidate,dt,vote_intention
André Fernandes,2024-07-05,0.1848945234123739
Capitão Wagner,2024-07-05,0.37399720761944116
Evandro Leitão,2024-07-05,0.19104958731732427
José Sarto,2024-07-05,0.25005868165086065
André Fernandes,2024-07-06,0.24655697665549278
Capitão Wagner,2024-07-06,0.39144242806217766
Evandro Leitão,2024-07-06,0.13885476968979632
José Sarto,2024-07-06,0.22314582559253324
André Fernandes,2024-07-07,0.24462531820838143
Capitão Wagner,2024-07-07,0.37241410122107316
Evandro Leitão,2024-07-07,0.1338006268797832
José Sarto,2024-07-07,0.24915995369076221
André Fernandes,2024-07-08,0.26382822767045344
Capitão Wagner,2024-07-08,0.3482826812157952
Evandro Leitão,2024-07-08,0.14339245244186255
José Sarto,2024-07-08,0.24449663867188876
André Fernandes,2024-07-09,0.2520204671506402
Capitão Wagner,2024-07-09,0.3302456495146219
Evandro Leitão,2024-07-09,0.19341209548294805
José Sarto,2024-07-09,0.2243217878517898
André Fernandes,2024-07-10,0.18425041482510762
Capitão Wagner,2024-07-10,0.3961796514655605
Evandro Leitão,2024-07-10,0.15238342480698774
José Sarto,2024-07-10,0.2671865089023441
André Fernandes,2024-07-11,0.19998902306153316
Capitão Wagner,2024-07-11,0.34793002253119065
Evandro Leitão,2024-07-11,0.1969046344492488
José Sarto,2024-07-11,0.25517631995802736
André Fernandes,2024-07-12,0.2281425795466329
Capitão Wagner,2024-07-12,0.3083508779324109
Evandro Leitão,2024-07-12,0.17630530772525105
José Sarto,2024-07-12,0.28720123479570514
André Fernandes,2024-07-13,0.2054824928360019
Capitão Wagner,2024-07-13,0.36600223524934694
Evandro Leitão,2024-07-13,0.18083140428139646
José Sarto,2024-07-13,0.24768386763325467
André Fernandes,2024-07-14,0.23273415708543022
Capitão Wagner,2024-07-14,0.334340298053034
Evandro Leitão,2024-07-14,0.22722957270995528
José Sarto,2024-07-14,0.20569597215158048
André Fernandes,2024-07-15,0.28043855639643817
Capitão Wagner,2024-07-15,0.34285554765054693
Evandro Leitão,2024-07-15,0.14907442401077722
José Sarto,2024-07-15,0.22763147194223765
André Fernandes,2024-07-16,0.2564687369207493
Capitão Wagner,2024-07-16,0.3897594105672955
Evandro Leitão,2024-07-16,0.1757766900373685
José Sarto,2024-07-16,0.1779951624745867
André Fernandes,2024-07-17,0.23303674228159382
Capitão Wagner,2024-07-17,0.3113523903077447
Evandro Leitão,2024-07-17,0.2497853448435877
José Sarto,2024-07-17,0.20582552256707376
André Fernandes,2024-07-18,0.24459574618110197
Capitão Wagner,2024-07-18,0.3757776099770346
Evandro Leitão,2024-07-18,0.16726141368411288
José Sarto,2024-07-18,0.2123652301577506
André Fernandes,2024-07-19,0.22979124475243173
Capitão Wagner,2024-07-19,0.37597927052149854
Evandro Leitão,2024-07-19,0.18815129193362615
José Sarto,2024-07-19,0.2060781927924436
André Fernandes,2024-07-20,0.24432095124608458
